fold,start,end,max_power,tau,slot,is_offday,selected_restart_slot
0,2021-04-15 09:00:00,2021-04-15 09:00:00,179.0,176.5,36,False,False
0,2021-04-15 13:15:00,2021-04-15 13:45:00,182.0,176.5,53,False,False
0,2021-04-15 15:45:00,2021-04-15 15:45:00,179.0,176.5,63,False,False
0,2021-04-16 09:00:00,2021-04-16 09:00:00,179.0,176.5,36,False,False
0,2021-04-16 13:15:00,2021-04-16 13:45:00,182.0,176.5,53,False,False
0,2021-04-16 15:45:00,2021-04-16 15:45:00,179.0,176.5,63,False,False
0,2021-05-03 08:30:00,2021-05-03 09:30:00,184.0,176.5,34,False,False
0,2021-05-03 12:00:00,2021-05-03 12:00:00,179.0,176.5,48,False,False
0,2021-05-03 13:15:00,2021-05-03 14:00:00,182.0,176.5,53,False,False
0,2021-05-04 08:30:00,2021-05-04 08:30:00,181.0,176.5,34,False,False
0,2021-05-04 09:45:00,2021-05-04 09:45:00,177.0,176.5,39,False,False
0,2021-05-04 11:15:00,2021-05-04 11:15:00,178.0,176.5,45,False,False
0,2021-05-04 15:00:00,2021-05-04 15:00:00,180.0,176.5,60,False,False
0,2021-05-04 15:45:00,2021-05-04 15:45:00,177.0,176.5,63,False,False
0,2021-05-06 08:30:00,2021-05-06 10:00:00,199.0,176.5,34,False,False
0,2021-05-06 11:00:00,2021-05-06 11:00:00,177.0,176.5,44,False,False
0,2021-05-06 11:45:00,2021-05-06 11:45:00,179.0,176.5,47,False,False
0,2021-05-07 08:45:00,2021-05-07 09:00:00,181.0,176.5,35,False,False
0,2021-05-09 08:30:00,2021-05-09 09:00:00,184.0,176.5,34,True,False
0,2021-05-10 08:30:00,2021-05-10 09:00:00,184.0,176.5,34,False,False
0,2021-05-11 08:45:00,2021-05-11 08:45:00,177.0,176.5,35,False,False
0,2021-05-11 10:00:00,2021-05-11 10:00:00,177.0,176.5,40,False,False
0,2021-05-11 13:15:00,2021-05-11 13:15:00,185.0,176.5,53,False,False
0,2021-05-12 08:30:00,2021-05-12 08:45:00,178.0,176.5,34,False,False
0,2021-05-12 11:30:00,2021-05-12 11:30:00,183.0,176.5,46,False,False
0,2021-05-12 13:30:00,2021-05-12 13:30:00,184.0,176.5,54,False,False
0,2021-05-12 14:00:00,2021-05-12 14:00:00,179.0,176.5,56,False,False
1,2021-06-01 08:30:00,2021-06-01 09:00:00,195.0,177.0,34,False,False
1,2021-06-01 10:00:00,2021-06-01 10:00:00,182.0,177.0,40,False,False
1,2021-06-01 10:30:00,2021-06-01 11:30:00,187.0,177.0,42,False,False
1,2021-06-02 09:30:00,2021-06-02 10:00:00,180.0,177.0,38,False,False
1,2021-06-02 10:45:00,2021-06-02 11:15:00,191.0,177.0,43,False,False
1,2021-06-02 13:30:00,2021-06-02 14:00:00,189.0,177.0,54,False,False
1,2021-06-02 14:45:00,2021-06-02 15:00:00,180.0,177.0,59,False,False
1,2021-06-03 08:30:00,2021-06-03 08:30:00,181.0,177.0,34,False,False
1,2021-06-07 08:45:00,2021-06-07 09:15:00,182.0,177.0,35,False,False
1,2021-06-07 13:45:00,2021-06-07 13:45:00,182.0,177.0,55,False,False
1,2021-06-07 14:45:00,2021-06-07 14:45:00,180.0,177.0,59,False,False
1,2021-06-08 16:00:00,2021-06-08 16:00:00,180.0,177.0,64,False,False
