ts_end,restart_rise,low_run_slots,low_end_time,slot,is_offday,threshold_low,threshold_rise,threshold_fit_end,fold
2021-05-03 07:45:00,36.0,15,2021-05-03 07:15:00,31,False,25.0,29.0,2021-03-15 10:45:00,0
2021-05-29 01:15:00,33.0,3,2021-05-29 01:00:00,5,True,62.0,30.0,2021-04-19 16:45:00,1
2021-05-31 08:15:00,62.0,32,2021-05-31 07:45:00,33,False,62.0,30.0,2021-04-19 16:45:00,1
2021-06-14 07:45:00,33.0,31,2021-06-14 07:30:00,31,False,62.0,30.0,2021-04-19 16:45:00,1
2021-06-21 08:00:00,39.0,32,2021-06-21 07:45:00,32,False,62.0,30.0,2021-04-19 16:45:00,1
2021-07-12 08:00:00,57.0,32,2021-07-12 07:45:00,32,False,77.0,30.0,2021-05-24 22:45:00,2
2021-07-16 01:15:00,30.0,4,2021-07-16 01:00:00,5,False,77.0,30.0,2021-05-24 22:45:00,2
2021-07-19 08:00:00,43.0,32,2021-07-19 07:45:00,32,False,77.0,30.0,2021-05-24 22:45:00,2
2021-07-26 08:00:00,52.0,32,2021-07-26 07:45:00,32,False,77.0,30.0,2021-05-24 22:45:00,2
2021-07-29 01:15:00,31.0,4,2021-07-29 01:00:00,5,False,77.0,30.0,2021-05-24 22:45:00,2
2021-08-09 07:45:00,44.0,31,2021-08-09 07:30:00,31,False,77.0,30.0,2021-05-24 22:45:00,2
