fold,variant,low_q,min_low_slots,restart_events,peak_starts,observed_proximity,analysis_role
0,low_q20,0.2,2,1,27,0.0,descriptive_sensitivity_only
0,low_q30,0.3,2,14,27,0.1111111111111111,descriptive_sensitivity_only
0,duration_15m,0.25,1,2,27,0.0,descriptive_sensitivity_only
0,duration_45m,0.25,3,1,27,0.0,descriptive_sensitivity_only
1,low_q20,0.2,2,0,65,0.0,descriptive_sensitivity_only
1,low_q30,0.3,2,16,65,0.03076923076923077,descriptive_sensitivity_only
1,duration_15m,0.25,1,4,65,0.015384615384615385,descriptive_sensitivity_only
1,duration_45m,0.25,3,4,65,0.015384615384615385,descriptive_sensitivity_only
2,low_q20,0.2,2,1,56,0.0,descriptive_sensitivity_only
2,low_q30,0.3,2,6,56,0.05357142857142857,descriptive_sensitivity_only
2,duration_15m,0.25,1,6,56,0.03571428571428571,descriptive_sensitivity_only
2,duration_45m,0.25,3,6,56,0.03571428571428571,descriptive_sensitivity_only
