fold,date,slot,peak,power,excess,restart_observed
2,2021-07-08,5,False,89.0,0.0,False
2,2021-07-09,5,False,94.0,0.0,False
2,2021-07-10,5,False,89.0,0.0,False
2,2021-07-11,5,False,23.0,0.0,False
2,2021-07-12,5,False,23.0,0.0,False
2,2021-07-31,5,False,21.0,0.0,False
2,2021-08-01,5,False,25.0,0.0,False
2,2021-08-02,5,False,21.0,0.0,False
2,2021-08-03,5,False,21.0,0.0,False
2,2021-08-04,5,False,21.0,0.0,False
2,2021-08-05,5,False,25.0,0.0,False
2,2021-08-06,5,False,21.0,0.0,False
2,2021-08-07,5,False,25.0,0.0,False
2,2021-08-08,5,False,21.0,0.0,False
2,2021-08-09,5,False,21.0,0.0,False
