h4_fold,peak_start,peak_slot,horizon,origin,origin_on_history_grid,origin_has_clean_power,target_in_original_horizon_score,horizon_score_fold,slot_selected_from_horizon_fold_fit,analysis_role
0,2021-04-15 09:00:00,36,16,2021-04-15 05:00:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-04-15 09:00:00,36,96,2021-04-14 09:00:00,True,True,False,,False,descriptive_coverage_only
0,2021-04-15 13:15:00,53,16,2021-04-15 09:15:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-04-15 13:15:00,53,96,2021-04-14 13:15:00,True,True,False,,False,descriptive_coverage_only
0,2021-04-15 15:45:00,63,16,2021-04-15 11:45:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-04-15 15:45:00,63,96,2021-04-14 15:45:00,True,True,False,,False,descriptive_coverage_only
0,2021-04-16 09:00:00,36,16,2021-04-16 05:00:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-04-16 09:00:00,36,96,2021-04-15 09:00:00,True,True,False,,False,descriptive_coverage_only
0,2021-04-16 13:15:00,53,16,2021-04-16 09:15:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-04-16 13:15:00,53,96,2021-04-15 13:15:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-04-16 15:45:00,63,16,2021-04-16 11:45:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-04-16 15:45:00,63,96,2021-04-15 15:45:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-03 08:30:00,34,16,2021-05-03 04:30:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-03 08:30:00,34,96,2021-05-02 08:30:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-03 12:00:00,48,16,2021-05-03 08:00:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-03 12:00:00,48,96,2021-05-02 12:00:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-03 13:15:00,53,16,2021-05-03 09:15:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-03 13:15:00,53,96,2021-05-02 13:15:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-04 08:30:00,34,16,2021-05-04 04:30:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-04 08:30:00,34,96,2021-05-03 08:30:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-04 09:45:00,39,16,2021-05-04 05:45:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-04 09:45:00,39,96,2021-05-03 09:45:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-04 11:15:00,45,16,2021-05-04 07:15:00,True,True,True,0.0,False,descriptive_coverage_only
0,2021-05-04 11:15:00,45,96,2021-05-03 11:15:00,True,True,True,0.0,False,descriptive_coverage_only
