previous_day_max,previous_day_exceed,previous_week_max,previous_week_exceed,slot_rate7,slot_rate28,origin_level,origin_slope,previous_restart_rise,target_weekday,holiday_near,origin,target_time,partition,fold,horizon
2021-01-03 01:15:00,2021-01-03 01:15:00,2020-12-28 01:15:00,2020-12-28 01:15:00,2021-01-03 21:15:00,2021-01-03 21:15:00,2021-01-03 21:15:00,2021-01-03 21:15:00,,,,2021-01-03 21:15:00,2021-01-04 01:15:00,fit,2,16
2021-01-04 01:15:00,2021-01-04 01:15:00,2020-12-29 01:15:00,2020-12-29 01:15:00,2021-01-04 21:15:00,2021-01-04 21:15:00,2021-01-04 21:15:00,2021-01-04 21:15:00,,,,2021-01-04 21:15:00,2021-01-05 01:15:00,fit,2,16
2021-01-05 01:15:00,2021-01-05 01:15:00,2020-12-30 01:15:00,2020-12-30 01:15:00,2021-01-05 21:15:00,2021-01-05 21:15:00,2021-01-05 21:15:00,2021-01-05 21:15:00,,,,2021-01-05 21:15:00,2021-01-06 01:15:00,fit,2,16
2021-01-06 01:15:00,2021-01-06 01:15:00,2020-12-31 01:15:00,2020-12-31 01:15:00,2021-01-06 21:15:00,2021-01-06 21:15:00,2021-01-06 21:15:00,2021-01-06 21:15:00,,,,2021-01-06 21:15:00,2021-01-07 01:15:00,fit,2,16
2021-01-07 01:15:00,2021-01-07 01:15:00,2021-01-01 01:15:00,2021-01-01 01:15:00,2021-01-07 21:15:00,2021-01-07 21:15:00,2021-01-07 21:15:00,2021-01-07 21:15:00,,,,2021-01-07 21:15:00,2021-01-08 01:15:00,fit,2,16
2021-01-10 01:15:00,2021-01-10 01:15:00,2021-01-04 01:15:00,2021-01-04 01:15:00,2021-01-10 21:15:00,2021-01-10 21:15:00,2021-01-10 21:15:00,2021-01-10 21:15:00,,,,2021-01-10 21:15:00,2021-01-11 01:15:00,fit,2,16
2021-01-11 01:15:00,2021-01-11 01:15:00,2021-01-05 01:15:00,2021-01-05 01:15:00,2021-01-11 21:15:00,2021-01-11 21:15:00,2021-01-11 21:15:00,2021-01-11 21:15:00,,,,2021-01-11 21:15:00,2021-01-12 01:15:00,fit,2,16
2021-01-12 01:15:00,2021-01-12 01:15:00,2021-01-06 01:15:00,2021-01-06 01:15:00,2021-01-12 21:15:00,2021-01-12 21:15:00,2021-01-12 21:15:00,2021-01-12 21:15:00,,,,2021-01-12 21:15:00,2021-01-13 01:15:00,fit,2,16
2021-01-13 01:15:00,2021-01-13 01:15:00,2021-01-07 01:15:00,2021-01-07 01:15:00,2021-01-13 21:15:00,2021-01-13 21:15:00,2021-01-13 21:15:00,2021-01-13 21:15:00,,,,2021-01-13 21:15:00,2021-01-14 01:15:00,fit,2,16
2021-01-14 01:15:00,2021-01-14 01:15:00,2021-01-08 01:15:00,2021-01-08 01:15:00,2021-01-14 21:15:00,2021-01-14 21:15:00,2021-01-14 21:15:00,2021-01-14 21:15:00,,,,2021-01-14 21:15:00,2021-01-15 01:15:00,fit,2,16
2021-01-17 01:15:00,2021-01-17 01:15:00,2021-01-11 01:15:00,2021-01-11 01:15:00,2021-01-17 21:15:00,2021-01-17 21:15:00,2021-01-17 21:15:00,2021-01-17 21:15:00,,,,2021-01-17 21:15:00,2021-01-18 01:15:00,fit,2,16
2021-01-18 01:15:00,2021-01-18 01:15:00,2021-01-12 01:15:00,2021-01-12 01:15:00,2021-01-18 21:15:00,2021-01-18 21:15:00,2021-01-18 21:15:00,2021-01-18 21:15:00,,,,2021-01-18 21:15:00,2021-01-19 01:15:00,fit,2,16
2021-01-19 01:15:00,2021-01-19 01:15:00,2021-01-13 01:15:00,2021-01-13 01:15:00,2021-01-19 21:15:00,2021-01-19 21:15:00,2021-01-19 21:15:00,2021-01-19 21:15:00,,,,2021-01-19 21:15:00,2021-01-20 01:15:00,fit,2,16
2021-01-20 01:15:00,2021-01-20 01:15:00,2021-01-14 01:15:00,2021-01-14 01:15:00,2021-01-20 21:15:00,2021-01-20 21:15:00,2021-01-20 21:15:00,2021-01-20 21:15:00,,,,2021-01-20 21:15:00,2021-01-21 01:15:00,fit,2,16
