origin,target_time,horizon,fold,model,y,pred,tau,holiday_near,alert,alert_cutoff,q10,q50,q90,q95,q975,p_exceed,q50_top_edge,conformal_method,q90_cal,q95_cal,q975_cal,exp_exceed,label,selected_slot
2021-07-07 21:15:00,2021-07-08 01:15:00,16,2,c3_holiday_hybrid,89.0,92.33333333333331,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-07-08 21:15:00,2021-07-09 01:15:00,16,2,c3_holiday_hybrid,94.0,91.33333333333331,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-07-11 21:15:00,2021-07-12 01:15:00,16,2,c3_holiday_hybrid,23.0,90.0,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-07-25 21:15:00,2021-07-26 01:15:00,16,2,c3_holiday_hybrid,23.0,89.83333333333333,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-07-26 21:15:00,2021-07-27 01:15:00,16,2,c3_holiday_hybrid,84.0,89.83333333333333,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-07-27 21:15:00,2021-07-28 01:15:00,16,2,c3_holiday_hybrid,110.0,79.0,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-07-28 21:15:00,2021-07-29 01:15:00,16,2,c3_holiday_hybrid,98.0,77.33333333333333,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-07-29 21:15:00,2021-07-30 01:15:00,16,2,c3_holiday_hybrid,110.0,89.33333333333333,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-08-01 21:15:00,2021-08-02 01:15:00,16,2,c3_holiday_hybrid,21.0,91.16666666666669,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-08-02 21:15:00,2021-08-03 01:15:00,16,2,c3_holiday_hybrid,21.0,91.16666666666669,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-08-03 21:15:00,2021-08-04 01:15:00,16,2,c3_holiday_hybrid,21.0,91.16666666666669,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-08-04 21:15:00,2021-08-05 01:15:00,16,2,c3_holiday_hybrid,25.0,81.16666666666667,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-08-05 21:15:00,2021-08-06 01:15:00,16,2,c3_holiday_hybrid,21.0,68.66666666666667,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-08-08 21:15:00,2021-08-09 01:15:00,16,2,c3_holiday_hybrid,21.0,45.333333333333336,175.0,False,False,170.1680392156863,,,,,,,,,,,,,0,5
2021-07-08 01:15:00,2021-07-09 01:15:00,96,2,c3_holiday_hybrid,94.0,91.33333333333331,175.0,False,False,147.66666666666666,,,,,,,,,,,,,0,5
2021-07-11 01:15:00,2021-07-12 01:15:00,96,2,c3_holiday_hybrid,23.0,90.0,175.0,False,False,147.66666666666666,,,,,,,,,,,,,0,5
2021-08-01 01:15:00,2021-08-02 01:15:00,96,2,c3_holiday_hybrid,21.0,91.16666666666669,175.0,False,False,147.66666666666666,,,,,,,,,,,,,0,5
2021-08-02 01:15:00,2021-08-03 01:15:00,96,2,c3_holiday_hybrid,21.0,91.16666666666669,175.0,False,False,147.66666666666666,,,,,,,,,,,,,0,5
2021-08-03 01:15:00,2021-08-04 01:15:00,96,2,c3_holiday_hybrid,21.0,91.16666666666669,175.0,False,False,147.66666666666666,,,,,,,,,,,,,0,5
2021-08-04 01:15:00,2021-08-05 01:15:00,96,2,c3_holiday_hybrid,25.0,81.16666666666667,175.0,False,False,147.66666666666666,,,,,,,,,,,,,0,5
2021-08-05 01:15:00,2021-08-06 01:15:00,96,2,c3_holiday_hybrid,21.0,68.66666666666667,175.0,False,False,147.66666666666666,,,,,,,,,,,,,0,5
2021-08-08 01:15:00,2021-08-09 01:15:00,96,2,c3_holiday_hybrid,21.0,45.333333333333336,175.0,False,False,147.66666666666666,,,,,,,,,,,,,0,5
