analysis,horizon,fold,day_type,slot,restart,n,peak_n,cbl_mae,lgbm_mae,error_diff_lgbm_minus_cbl
A4,16,0,offday,0,False,9,0,2.9074074074074066,7.810515600052399,4.903108192644994
A4,16,0,offday,1,False,9,0,21.72222222222222,7.774919207863385,-13.947303014358837
A4,16,0,offday,2,False,9,0,20.63888888888889,5.8041044547768905,-14.834784434112
A4,16,0,offday,3,False,9,0,21.88888888888889,6.377395442624122,-15.511493446264767
A4,16,0,offday,4,False,9,0,20.805555555555557,10.571826192605636,-10.23372936294992
A4,16,0,offday,5,False,9,0,36.02777777777778,13.579210189504115,-22.44856758827366
A4,16,0,offday,6,False,9,0,38.27777777777778,12.660142245643474,-25.617635532134305
A4,16,0,offday,7,False,9,0,43.47222222222222,16.586865398746056,-26.885356823476165
A4,16,0,offday,8,False,9,0,45.833333333333336,15.73555505009814,-30.097778283235193
A4,16,0,offday,9,False,9,0,43.5,13.747754800559326,-29.75224519944068
A4,16,0,offday,10,False,9,0,43.22222222222222,13.752830403921362,-29.46939181830086
A4,16,0,offday,11,False,9,0,39.361111111111114,14.990261676044298,-24.370849435066813
A4,16,0,offday,12,False,9,0,40.861111111111114,12.4695824195929,-28.39152869151821
A4,16,0,offday,13,False,9,0,33.861111111111114,10.46940909229912,-23.391702018811994
A4,16,0,offday,14,False,9,0,43.94444444444444,14.023763517592153,-29.92068092685229
A4,16,0,offday,15,False,9,0,42.75,12.111072543758244,-30.638927456241756
A4,16,0,offday,16,False,9,0,43.083333333333336,10.744557322364,-32.338776010969326
A4,16,0,offday,17,False,9,0,47.05555555555556,14.36718001716391,-32.68837553839165
A4,16,0,offday,18,False,9,0,46.22222222222222,12.798195030864818,-33.4240271913574
A4,16,0,offday,19,False,9,0,43.44444444444444,12.487701106920909,-30.956743337523537
A4,16,0,offday,20,False,9,0,38.611111111111114,8.04992171608266,-30.56118939502845
A4,16,0,offday,21,False,9,0,30.13888888888889,9.790960685645524,-20.347928203243367
A4,16,0,offday,22,False,9,0,27.88888888888889,13.250301453144026,-14.638587435744865
A4,16,0,offday,23,False,9,0,39.22222222222222,8.98101249903408,-30.241209723188142
A4,16,0,offday,24,False,9,0,41.0,12.299695580668839,-28.700304419331164
A4,16,0,offday,25,False,9,0,46.27777777777778,12.78667793927937,-33.49109983849841
A4,16,0,offday,26,False,9,0,45.138888888888886,11.565573732590154,-33.57331515629873
A4,16,0,offday,27,False,9,0,42.888888888888886,9.576223295223048,-33.31266559366584
A4,16,0,offday,28,False,9,0,38.27777777777778,7.461980666609492,-30.81579711116829
A4,16,0,offday,29,False,9,0,36.02777777777778,9.737751408494237,-26.29002636928354
A4,16,0,offday,30,False,9,0,30.72222222222222,12.915266648675624,-17.8069555735466
A4,16,0,offday,31,False,9,0,16.02777777777778,27.289853645403824,11.262075867626047
A4,16,0,offday,32,False,9,0,15.0,40.23013810317401,25.23013810317401
A4,16,0,offday,33,False,9,0,16.77777777777778,51.87668744503628,35.0989096672585
A4,16,0,offday,34,False,9,1,20.13888888888889,50.71132532067502,30.572436431786134
A4,16,0,offday,35,False,9,1,20.47222222222222,48.199052480973954,27.72683025875173
A4,16,0,offday,36,False,9,1,18.916666666666668,44.69227529457937,25.7756086279127
A4,16,0,offday,37,False,9,0,16.97222222222222,41.170317421921226,24.198095199699004
A4,16,0,offday,38,False,9,0,16.555555555555557,42.98160390648533,26.426048350929776
A4,16,0,offday,39,False,9,0,15.88888888888889,38.60263795255735,22.713749063668462
A4,16,0,offday,40,False,9,0,15.027777777777779,43.6797670189103,28.65198924113252
A4,16,0,offday,41,False,9,0,12.472222222222221,51.029018208269385,38.55679598604716
A4,16,0,offday,42,False,9,0,17.194444444444443,49.24585199682825,32.05140755238381
A4,16,0,offday,43,False,9,0,17.22222222222222,46.3565573354915,29.13433511326928
A4,16,0,offday,44,False,9,0,17.25,43.0721997597179,25.82219975971789
A4,16,0,offday,45,False,9,0,17.944444444444443,42.62180477898835,24.677360334543906
A4,16,0,offday,46,False,9,0,16.61111111111111,38.503239990133665,21.89212887902256
A4,16,0,offday,47,False,9,0,18.916666666666668,26.060490982158115,7.143824315491447
A4,16,0,offday,48,False,9,0,16.72222222222222,13.511761119115787,-3.2104611031064345
