origin,target_time,horizon,fold,y,cbl_pred,tau,lgbm_pred,pred,day_type,slot,cbl_abs_error,lgbm_abs_error,error_diff_lgbm_minus_cbl,restart
2021-04-14 17:45:00,2021-04-14 21:45:00,16,0,114.0,111.16666666666669,176.0,119.38492537434352,119.38492537434352,workday,87,2.8333333333333144,5.384925374343524,2.5515920410102098,False
2021-04-14 18:00:00,2021-04-14 22:00:00,16,0,109.0,112.0,176.0,120.0198588431952,120.0198588431952,workday,88,3.0,11.019858843195195,8.019858843195195,False
2021-04-14 18:15:00,2021-04-14 22:15:00,16,0,92.0,93.0,176.0,106.37451674256384,106.37451674256384,workday,89,1.0,14.374516742563841,13.374516742563841,False
2021-04-14 18:30:00,2021-04-14 22:30:00,16,0,94.0,103.5,176.0,114.5722667410338,114.5722667410338,workday,90,9.5,20.5722667410338,11.0722667410338,False
2021-04-14 18:45:00,2021-04-14 22:45:00,16,0,107.0,109.33333333333331,176.0,116.91906835814552,116.91906835814552,workday,91,2.3333333333333144,9.919068358145523,7.585735024812209,False
2021-04-14 19:00:00,2021-04-14 23:00:00,16,0,106.0,107.0,176.0,117.11006485027224,117.11006485027224,workday,92,1.0,11.110064850272238,10.110064850272238,False
2021-04-14 19:15:00,2021-04-14 23:15:00,16,0,104.0,103.5,176.0,110.59522226060798,110.59522226060798,workday,93,0.5,6.595222260607983,6.095222260607983,False
2021-04-14 19:30:00,2021-04-14 23:30:00,16,0,103.0,105.16666666666669,176.0,117.24185013307098,117.24185013307098,workday,94,2.1666666666666856,14.241850133070983,12.075183466404297,False
2021-04-14 19:45:00,2021-04-14 23:45:00,16,0,92.0,98.0,176.0,109.42352141476704,109.42352141476704,workday,95,6.0,17.423521414767038,11.423521414767038,False
2021-04-14 20:00:00,2021-04-15 00:00:00,16,0,74.0,73.33333333333333,176.0,75.06525769904063,75.06525769904063,workday,0,0.6666666666666714,1.0652576990406288,0.39859103237395743,False
2021-04-14 20:15:00,2021-04-15 00:15:00,16,0,71.0,47.0,176.0,65.34570243033785,65.34570243033785,workday,1,24.0,5.654297569662148,-18.34570243033785,False
2021-04-14 20:30:00,2021-04-15 00:30:00,16,0,65.0,43.16666666666666,176.0,54.49142371961265,54.49142371961265,workday,2,21.833333333333343,10.508576280387352,-11.32475705294599,False
