scenario,fraction,prep_minutes,fold,origin,target_time,source_start,tau,eligible_alert_order_for_source,destination_start,delta_per_interval,status,observed_production,source_weight,destination_weight,alarm_source,horizon,scenario_label
D,0.2,30,0,2021-04-15 04:15:00,2021-04-15 08:15:00,2021-04-15 08:00:00,176.0,1.0,2021-04-15 21:15:00,3.7360349822802728,applied,766.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-15 08:00:00,2021-04-15 12:00:00,2021-04-15 11:00:00,176.0,1.0,2021-04-15 21:15:00,4.979754199619006,applied,1021.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-15 09:15:00,2021-04-15 13:15:00,2021-04-15 13:00:00,176.0,1.0,2021-04-15 21:15:00,4.984631529883079,applied,1022.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-15 09:30:00,2021-04-15 13:30:00,2021-04-15 13:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-15 09:45:00,2021-04-15 13:45:00,2021-04-15 13:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-15 10:00:00,2021-04-15 14:00:00,2021-04-15 13:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-15 10:30:00,2021-04-15 14:30:00,2021-04-15 14:00:00,176.0,1.0,2021-04-15 21:15:00,7.867133715950496,applied,1613.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-15 10:45:00,2021-04-15 14:45:00,2021-04-15 14:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-15 11:00:00,2021-04-15 15:00:00,2021-04-15 14:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-15 11:30:00,2021-04-15 15:30:00,2021-04-15 15:00:00,176.0,1.0,2021-04-15 20:15:00,3.2287926348166325,applied,662.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-15 11:45:00,2021-04-15 15:45:00,2021-04-15 15:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-15 12:00:00,2021-04-15 16:00:00,2021-04-15 15:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 04:15:00,2021-04-16 08:15:00,2021-04-16 08:00:00,176.0,1.0,2021-04-16 21:15:00,2.2386945912097196,applied,459.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 04:30:00,2021-04-16 08:30:00,2021-04-16 08:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 04:45:00,2021-04-16 08:45:00,2021-04-16 08:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 05:00:00,2021-04-16 09:00:00,2021-04-16 08:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 05:15:00,2021-04-16 09:15:00,2021-04-16 09:00:00,176.0,1.0,2021-04-16 21:15:00,3.8043176059773014,applied,780.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 05:30:00,2021-04-16 09:30:00,2021-04-16 09:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 05:45:00,2021-04-16 09:45:00,2021-04-16 09:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 06:00:00,2021-04-16 10:00:00,2021-04-16 09:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 06:45:00,2021-04-16 10:45:00,2021-04-16 10:00:00,176.0,1.0,2021-04-16 21:15:00,4.687114383774598,applied,961.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 07:00:00,2021-04-16 11:00:00,2021-04-16 10:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 07:45:00,2021-04-16 11:45:00,2021-04-16 11:00:00,176.0,1.0,2021-04-16 21:15:00,17.69495419805852,applied,3628.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 08:00:00,2021-04-16 12:00:00,2021-04-16 11:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 09:15:00,2021-04-16 13:15:00,2021-04-16 13:00:00,176.0,1.0,2021-04-16 21:15:00,8.081736247569728,applied,1657.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 09:30:00,2021-04-16 13:30:00,2021-04-16 13:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 09:45:00,2021-04-16 13:45:00,2021-04-16 13:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 10:00:00,2021-04-16 14:00:00,2021-04-16 13:00:00,176.0,4.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 10:30:00,2021-04-16 14:30:00,2021-04-16 14:00:00,176.0,1.0,2021-04-16 21:15:00,8.798703796388528,applied,1804.0,2.0,1.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 10:45:00,2021-04-16 14:45:00,2021-04-16 14:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 11:00:00,2021-04-16 15:00:00,2021-04-16 14:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 11:30:00,2021-04-16 15:30:00,2021-04-16 15:00:00,176.0,1.0,2021-04-16 20:15:00,3.028822093989621,applied,621.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 11:45:00,2021-04-16 15:45:00,2021-04-16 15:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 12:00:00,2021-04-16 16:00:00,2021-04-16 15:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 13:00:00,2021-04-16 17:00:00,2021-04-16 16:00:00,176.0,1.0,2021-04-16 20:15:00,4.999263520675299,applied,1025.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 14:30:00,2021-04-16 18:30:00,2021-04-16 18:00:00,176.0,1.0,2021-04-16 20:15:00,4.277418641592427,applied,877.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 14:45:00,2021-04-16 18:45:00,2021-04-16 18:00:00,176.0,2.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 15:00:00,2021-04-16 19:00:00,2021-04-16 18:00:00,176.0,3.0,,,duplicate_after_applied,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-16 15:15:00,2021-04-16 19:15:00,2021-04-16 19:00:00,176.0,1.0,2021-04-16 20:15:00,7.408664671127591,applied,1519.0,3.0,2.75,original_operational,16,사후 관측 생산량 기반 가정 시나리오
D,0.2,30,0,2021-04-17 04:30:00,2021-04-17 08:30:00,2021-04-17 08:00:00,176.0,1.0,,,invalid_observed_source_production,,,,original_operational,16,사후 관측 생산량 기반 가정 시나리오
