analysis,horizon,alarm_source,prep_minutes,scenario,fraction,month,monthly_max_before,monthly_max_after,monthly_max_change,weighted_load_change,new_peak_positions,evaluated_intervals,full_calendar_intervals,observed_fraction_of_full_month,weight_basis,scenario_label
A5,16,original_operational,30,D,0.2,2021-04,182.0,177.01536847011693,-4.984631529883075,-590.5764123555995,0,1546,2880,0.5368055555555555,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,30,D,0.2,2021-05,199.0,196.93201196803284,-2.067988031967161,-377.29936812334773,0,1481,2976,0.49764784946236557,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,30,D,0.2,2021-06,208.0,207.193588312155,-0.8064116878450136,-1004.1841542889858,0,2435,2880,0.8454861111111112,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,30,D,0.2,2021-07,217.0,213.3953007084663,-3.6046992915337057,-1269.2079037180351,0,1230,2976,0.41330645161290325,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,30,D,0.2,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,30,C,0.2,2021-04,182.0,175.0,-7.0,-25011.8,0,1546,2880,0.5368055555555555,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,30,C,0.2,2021-05,199.0,187.0,-12.0,-14510.699999999999,0,1481,2976,0.49764784946236557,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,30,C,0.2,2021-06,208.0,175.0,-33.0,-53480.2,0,2435,2880,0.8454861111111112,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,30,C,0.2,2021-07,217.0,173.6,-43.400000000000006,-35018.2,0,1230,2976,0.41330645161290325,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,30,C,0.2,2021-08,215.0,215.0,0.0,-700.5999999999999,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,60,D,0.2,2021-04,182.0,177.01536847011693,-4.984631529883075,-590.5764123555995,0,1546,2880,0.5368055555555555,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,60,D,0.2,2021-05,199.0,196.93201196803284,-2.067988031967161,-377.29936812334773,0,1481,2976,0.49764784946236557,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,60,D,0.2,2021-06,208.0,207.193588312155,-0.8064116878450136,-1004.1841542889858,0,2435,2880,0.8454861111111112,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,60,D,0.2,2021-07,217.0,213.3953007084663,-3.6046992915337057,-1269.2079037180351,0,1230,2976,0.41330645161290325,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,60,D,0.2,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,60,C,0.2,2021-04,182.0,175.0,-7.0,-25011.8,0,1546,2880,0.5368055555555555,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,60,C,0.2,2021-05,199.0,187.0,-12.0,-14510.699999999999,0,1481,2976,0.49764784946236557,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,60,C,0.2,2021-06,208.0,175.0,-33.0,-53480.2,0,2435,2880,0.8454861111111112,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,60,C,0.2,2021-07,217.0,173.6,-43.400000000000006,-35018.2,0,1230,2976,0.41330645161290325,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,original_operational,60,C,0.2,2021-08,215.0,215.0,0.0,-700.5999999999999,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,30,D,0.2,2021-04,182.0,177.01536847011693,-4.984631529883075,-25.298712079749052,0,1546,2880,0.5368055555555555,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,30,D,0.2,2021-05,199.0,196.93201196803284,-2.067988031967161,-123.47449296528382,0,1481,2976,0.49764784946236557,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,30,D,0.2,2021-06,208.0,207.193588312155,-0.8064116878450136,-408.8148852179544,0,2435,2880,0.8454861111111112,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,30,D,0.2,2021-07,217.0,213.3953007084663,-3.6046992915337057,-677.1102972315431,0,1230,2976,0.41330645161290325,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,30,D,0.2,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,30,C,0.2,2021-04,182.0,176.0,-6.0,-1886.0000000000005,0,1546,2880,0.5368055555555555,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,30,C,0.2,2021-05,199.0,174.0,-25.0,-6066.799999999999,0,1481,2976,0.49764784946236557,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,30,C,0.2,2021-06,208.0,177.0,-31.0,-21388.800000000003,0,2435,2880,0.8454861111111112,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,30,C,0.2,2021-07,217.0,175.0,-42.0,-27586.4,0,1230,2976,0.41330645161290325,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,30,C,0.2,2021-08,215.0,197.0,-18.0,-308.79999999999995,0,806,2976,0.2708333333333333,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,60,D,0.2,2021-04,182.0,177.01536847011693,-4.984631529883075,-25.298712079749052,0,1546,2880,0.5368055555555555,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,60,D,0.2,2021-05,199.0,196.93201196803284,-2.067988031967161,-123.47449296528382,0,1481,2976,0.49764784946236557,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
A5,16,perfect_information_reference,60,D,0.2,2021-06,208.0,207.193588312155,-0.8064116878450136,-408.8148852179544,0,2435,2880,0.8454861111111112,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오
