analysis,horizon,alarm_source,prep_minutes,scenario,fraction,alert_positions,time_eligible_alert_positions,time_eligible_alert_fraction,eligible_unique_source_windows,applied_unique_source_windows,applied_per_alert_position,applied_per_alert_ci_low,applied_per_alert_ci_high,applied_per_eligible_unique_source,actual_peak_unique_source_hours,applied_actual_peak_source_hours,applied_actual_peak_source_fraction,actual_peak_episodes,eligible_alarm_hit_episodes,eligible_alarm_episode_hit_fraction,load_proxy_total_change,new_peak_positions,weight_basis,scenario_label,scope,oracle_scope
A5,16,original_operational,30,D,0.2,1445,1444,0.9993079584775086,462,411,0.2844290657439446,0.26476483488778624,0.3050545383291802,0.8896103896103896,183,172,0.9398907103825137,148,87,0.5878378378378378,-5.684341886080802e-14,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,16,original_operational,30,C,0.2,1445,1444,0.9993079584775086,462,462,0.3197231833910035,0.3079478265075487,0.3340537956963443,1.0,183,174,0.9508196721311475,148,87,0.5878378378378378,-56206.4,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,16,original_operational,60,D,0.2,1445,1444,0.9993079584775086,462,411,0.2844290657439446,0.26476483488778624,0.3050545383291802,0.8896103896103896,183,172,0.9398907103825137,148,87,0.5878378378378378,-5.684341886080802e-14,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,16,original_operational,60,C,0.2,1445,1444,0.9993079584775086,462,462,0.3197231833910035,0.3079478265075487,0.3340537956963443,1.0,183,174,0.9508196721311475,148,87,0.5878378378378378,-56206.4,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,16,perfect_information_reference,30,D,0.2,425,423,0.9952941176470588,182,178,0.4188235294117647,0.37356023751609674,0.4747140460576483,0.978021978021978,183,178,0.9726775956284153,148,148,1.0,5.258016244624741e-13,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,16,perfect_information_reference,30,C,0.2,425,423,0.9952941176470588,182,182,0.42823529411764705,0.3879092725415586,0.48052038239538236,1.0,183,182,0.994535519125683,148,148,1.0,-25759.6,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,16,perfect_information_reference,60,D,0.2,425,423,0.9952941176470588,182,178,0.4188235294117647,0.37356023751609674,0.4747140460576483,0.978021978021978,183,178,0.9726775956284153,148,148,1.0,5.258016244624741e-13,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,16,perfect_information_reference,60,C,0.2,425,423,0.9952941176470588,182,182,0.42823529411764705,0.3879092725415586,0.48052038239538236,1.0,183,182,0.994535519125683,148,148,1.0,-25759.6,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,4,original_operational,30,D,0.2,1293,577,0.4462490332559938,343,330,0.2552204176334107,0.24270367734282328,0.26586402466051495,0.9620991253644315,183,166,0.907103825136612,148,85,0.5743243243243243,7.673861546209082e-13,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,4,original_operational,30,C,0.2,1293,577,0.4462490332559938,343,343,0.2652745552977572,0.2574844066204856,0.27449387186082264,1.0,183,167,0.912568306010929,148,85,0.5743243243243243,-45451.6,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,4,original_operational,60,D,0.2,1293,0,0.0,0,0,0.0,0.0,0.0,,183,0,0.0,148,0,0.0,0.0,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,4,original_operational,60,C,0.2,1293,0,0.0,0,0,0.0,0.0,0.0,,183,0,0.0,148,0,0.0,0.0,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,4,perfect_information_reference,30,D,0.2,425,170,0.4,118,115,0.27058823529411763,0.2461927551618504,0.3005884594369195,0.9745762711864406,183,115,0.6284153005464481,148,89,0.6013513513513513,2.984279490192421e-13,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,4,perfect_information_reference,30,C,0.2,425,170,0.4,118,118,0.2776470588235294,0.25418662900482214,0.3066318691870833,1.0,183,118,0.644808743169399,148,89,0.6013513513513513,-17204.0,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,4,perfect_information_reference,60,D,0.2,425,0,0.0,0,0,0.0,0.0,0.0,,183,0,0.0,148,0,0.0,0.0,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
A5,4,perfect_information_reference,60,C,0.2,425,0,0.0,0,0,0.0,0.0,0.0,,183,0,0.0,148,0,0.0,0.0,0,illustrative_ordinal_scenario_with_official_discount,사후 관측 생산량 기반 가정 시나리오,partial_month_development_oof,perfect_information_reference_not_global_optimization_bound
