horizon,fold,partition,baseline_model,original_rows,finite_baseline_rows,excluded_baseline_rows,excluded_baseline_fraction
4,0,fit,c2a_max_4_5_adjusted,5612,5612,0,0.0
4,0,stop,c2a_max_4_5_adjusted,1404,1404,0,0.0
4,0,cal,c2a_max_4_5_adjusted,1480,1480,0,0.0
4,0,score,c2a_max_4_5_adjusted,2746,2746,0,0.0
4,1,fit,c2a_max_4_5_adjusted,8996,8996,0,0.0
4,1,stop,c2a_max_4_5_adjusted,2250,2250,0,0.0
4,1,cal,c2a_max_4_5_adjusted,1480,1480,0,0.0
4,1,score,c2a_max_4_5_adjusted,2746,2746,0,0.0
4,2,fit,c2a_max_4_5_adjusted,12380,12380,0,0.0
4,2,stop,c2a_max_4_5_adjusted,3096,3096,0,0.0
4,2,cal,c2a_max_4_5_adjusted,1110,1110,0,0.0
4,2,score,c2a_max_4_5_adjusted,2059,2059,0,0.0
16,0,fit,c3_holiday_hybrid,5590,5590,0,0.0
16,0,stop,c3_holiday_hybrid,1402,1402,0,0.0
16,0,cal,c3_holiday_hybrid,1479,1479,0,0.0
16,0,score,c3_holiday_hybrid,2731,2731,0,0.0
16,1,fit,c3_holiday_hybrid,8971,8971,0,0.0
16,1,stop,c3_holiday_hybrid,2247,2247,0,0.0
16,1,cal,c3_holiday_hybrid,1479,1479,0,0.0
16,1,score,c3_holiday_hybrid,2731,2731,0,0.0
16,2,fit,c3_holiday_hybrid,12352,12352,0,0.0
16,2,stop,c3_holiday_hybrid,3092,3092,0,0.0
16,2,cal,c3_holiday_hybrid,1104,1104,0,0.0
16,2,score,c3_holiday_hybrid,2036,2036,0,0.0
96,0,fit,c3_holiday_hybrid,5446,5446,0,0.0
96,0,stop,c3_holiday_hybrid,1386,1386,0,0.0
96,0,cal,c3_holiday_hybrid,1469,1469,0,0.0
96,0,score,c3_holiday_hybrid,2634,2634,0,0.0
96,1,fit,c3_holiday_hybrid,8805,8805,0,0.0
96,1,stop,c3_holiday_hybrid,2226,2226,0,0.0
96,1,cal,c3_holiday_hybrid,1470,1470,0,0.0
96,1,score,c3_holiday_hybrid,2634,2634,0,0.0
96,2,fit,c3_holiday_hybrid,12165,12165,0,0.0
96,2,stop,c3_holiday_hybrid,3066,3066,0,0.0
96,2,cal,c3_holiday_hybrid,1067,1067,0,0.0
96,2,score,c3_holiday_hybrid,1887,1887,0,0.0
