horizon,fold,model,n_initial,n_cutoff_cal,n_score,fallback_cal,fallback_score,cutoff,first_score_latest_observation,last_score_latest_observation,quantile_fit_count
16,0,q95_rolling_672,739,723,2731,0,0,0.025000000000000022,2021-04-14 17:30:00,2021-05-13 04:15:00,5
16,0,q95_aci_005,739,723,2731,0,0,0.08289727770962811,2021-04-14 17:30:00,2021-05-13 04:15:00,5
16,0,q95_aci_010,739,723,2731,0,0,0.07689951630046632,2021-04-14 17:30:00,2021-05-13 04:15:00,5
16,0,q95_aci_050,739,723,2731,0,0,0.02561487006209793,2021-04-14 17:30:00,2021-05-13 04:15:00,5
16,1,q95_rolling_672,739,723,2731,0,0,0.17022366631568533,2021-05-28 18:00:00,2021-06-26 04:45:00,5
16,1,q95_aci_005,739,723,2731,0,0,0.17743954141793364,2021-05-28 18:00:00,2021-06-26 04:45:00,5
16,1,q95_aci_010,739,723,2731,0,0,0.17743954141793364,2021-05-28 18:00:00,2021-06-26 04:45:00,5
16,1,q95_aci_050,739,723,2731,0,0,0.17743954141793364,2021-05-28 18:00:00,2021-06-26 04:45:00,5
16,2,q95_rolling_672,552,535,2036,0,0,0.09294050435764745,2021-07-07 20:45:00,2021-08-09 05:30:00,5
16,2,q95_aci_005,552,535,2036,0,0,0.08442523532278383,2021-07-07 20:45:00,2021-08-09 05:30:00,5
16,2,q95_aci_010,552,535,2036,0,0,0.06757622371913409,2021-07-07 20:45:00,2021-08-09 05:30:00,5
16,2,q95_aci_050,552,535,2036,0,0,0.2968319596499259,2021-07-07 20:45:00,2021-08-09 05:30:00,5
96,0,q95_rolling_672,734,638,2634,0,0,0.18770351165145857,2021-04-15 11:00:00,2021-05-12 21:30:00,5
96,0,q95_aci_005,734,638,2634,0,0,0.210020561660652,2021-04-15 11:00:00,2021-05-12 21:30:00,5
96,0,q95_aci_010,734,638,2634,0,0,0.18012857215171676,2021-04-15 11:00:00,2021-05-12 21:30:00,5
96,0,q95_aci_050,734,638,2634,0,0,0.18012857215171676,2021-04-15 11:00:00,2021-05-12 21:30:00,5
96,1,q95_rolling_672,735,638,2634,0,0,0.18135637165291643,2021-05-29 05:00:00,2021-06-25 15:30:00,5
96,1,q95_aci_005,735,638,2634,0,0,0.18135637165291643,2021-05-29 05:00:00,2021-06-25 15:30:00,5
96,1,q95_aci_010,735,638,2634,0,0,0.18135637165291643,2021-05-29 05:00:00,2021-06-25 15:30:00,5
96,1,q95_aci_050,735,638,2634,0,0,0.18135637165291643,2021-05-29 05:00:00,2021-06-25 15:30:00,5
96,2,q95_rolling_672,533,437,1887,0,0,0.15965646802365294,2021-07-07 18:15:00,2021-08-08 09:30:00,5
96,2,q95_aci_005,533,437,1887,0,0,0.05152902040826486,2021-07-07 18:15:00,2021-08-08 09:30:00,5
96,2,q95_aci_010,533,437,1887,0,0,0.05152902040826486,2021-07-07 18:15:00,2021-08-08 09:30:00,5
96,2,q95_aci_050,533,437,1887,0,0,0.05152902040826486,2021-07-07 18:15:00,2021-08-08 09:30:00,5
