horizon,model,reference_only,selection_used,metric_role,n,peak_n,union_n,nonpeak_n,target_days,bootstrap_n,episode_ci_method,peak_mae_union,peak_mae_union_ci_low,peak_mae_union_ci_high,peak_mae_union_valid_bootstrap_n,peak_bias,peak_bias_ci_low,peak_bias_ci_high,peak_bias_valid_bootstrap_n,overpredict_rate,overpredict_rate_ci_low,overpredict_rate_ci_high,overpredict_rate_valid_bootstrap_n,peak_mae,peak_mae_ci_low,peak_mae_ci_high,peak_mae_valid_bootstrap_n,position_fp,position_fp_ci_low,position_fp_ci_high,position_fp_valid_bootstrap_n,episode_f1,episode_f1_ci_low,episode_f1_ci_high,episode_f1_valid_bootstrap_n
1,c2a_max_4_5_adjusted,False,False,"보조 지표, 선정에 미사용",7564,416,652,7148,85,1000,original_matching_event_start_date_blocks,17.41490925357872,14.79684484439368,21.066533476997016,1000,-6.813852163461551,-13.3378974795476,-1.5665383302731337,1000,0.03301622831561276,0.024356017959302076,0.0421966210223308,1000,14.660106169871792,11.206890778792642,19.481261485566947,1000,974.0,802.975,1147.05,1000,0.49214659685863876,0.40220784071716253,0.5587579167516162,1000
1,lgbm_quantile_b,True,False,"보조 지표, 선정에 미사용",7564,416,454,7148,85,1000,original_matching_event_start_date_blocks,10.039459117117019,8.674797685647757,11.42663748041102,1000,-8.871584981861211,-10.427950930636952,-7.3689148472078205,1000,0.005316172355903749,0.003152543035982755,0.007982557800719327,1000,9.758962211987583,8.40575395920599,11.096032128539884,1000,363.0,269.975,459.0,1000,0.6481481481481481,0.5724641529474243,0.7107087848616535,1000
1,p1_latest,False,False,"보조 지표, 선정에 미사용",7564,416,559,7148,85,1000,original_matching_event_start_date_blocks,14.291592128801431,13.363975528018083,15.05322634301011,1000,-7.25,-8.198004862700229,-6.472026224982747,1000,0.02000559597090095,0.013341168012122082,0.02664602320285382,1000,11.245192307692308,10.405245719667663,12.127206909405636,1000,865.0,615.0,1136.0,1000,0.5268542199488491,0.4249599582172702,0.6208954790446983,1000
4,c2a_max_4_5_adjusted,False,False,"보조 지표, 선정에 미사용",7551,425,708,7126,85,1000,original_matching_event_start_date_blocks,24.93379237288135,20.4423693045117,31.157261167429795,1000,-8.16750000000001,-16.641814770932076,-1.1938870888673916,1000,0.03971372438955936,0.03090412605718939,0.04975358390283005,1000,18.256127450980387,13.444678502399354,24.735196915665657,1000,1156.0,951.975,1375.025,1000,0.49743589743589745,0.40906100478468904,0.5701493686479827,1000
4,lgbm_no_holiday_weight_2,False,False,"보조 지표, 선정에 미사용",7551,425,511,7126,85,1000,original_matching_event_start_date_blocks,14.195703122812047,12.304145479997473,16.61444253780871,1000,-13.787057622251432,-16.770799135364072,-11.36911590411992,1000,0.012068481616615213,0.0069693386120183625,0.018042908876771974,1000,14.44309769830177,12.347565344375665,17.168300093300104,1000,593.0,429.95,764.05,1000,0.5885885885885885,0.5,0.6645786966445368,1000
4,lgbm_quantile_b,True,False,"보조 지표, 선정에 미사용",7551,425,461,7126,85,1000,original_matching_event_start_date_blocks,17.641302904466766,15.671735563402516,20.17075037205245,1000,-17.828230225385845,-20.521053112883173,-15.706087523695993,1000,0.005051922537187763,0.001592274644202991,0.009423709548123254,1000,17.963138863295008,15.841686507425155,20.640624061494346,1000,383.0,272.95,489.025,1000,0.6225165562913907,0.5545896358543417,0.68,1000
4,lgbm_residual_cbl,True,False,"보조 지표, 선정에 미사용",7551,425,514,7126,85,1000,original_matching_event_start_date_blocks,19.419098741344595,16.010451521634312,23.314000611735622,1000,-18.350659642626223,-22.733840813787676,-13.896085756714976,1000,0.012489475161380858,0.007910730183044104,0.017503673308486237,1000,19.752188017979716,15.822586809426447,23.985542109193936,1000,1060.0,847.975,1263.0,1000,0.48258706467661694,0.39750226286713064,0.5502513695305457,1000
4,p1_latest,False,False,"보조 지표, 선정에 미사용",7551,425,671,7126,85,1000,original_matching_event_start_date_blocks,35.864381520119224,33.59928493391443,38.320712949727806,1000,-30.527058823529412,-36.29788498181188,-26.772989838794572,1000,0.034521470670783046,0.022616057553957895,0.04697044793694278,1000,34.258823529411764,30.55419829730657,39.748722646310426,1000,1843.0,1505.925,2192.075,1000,0.3641160949868074,0.28931590131035295,0.4271356783919598,1000
16,c3_holiday_hybrid,False,False,"보조 지표, 선정에 미사용",7498,425,551,7073,84,1000,original_matching_event_start_date_blocks,36.359649122807014,14.904127243172532,59.108783597201786,1000,-14.605098039215694,-19.56060837404995,-11.316200905652789,1000,0.017814223101936942,0.007213378085518988,0.030550568718968968,1000,15.285098039215692,12.255218663450378,20.06296508078423,1000,978.0,699.925,1313.05,1000,0.4958217270194986,0.40272500912271664,0.5787025091334386,1000
16,lgbm_quantile_b,True,False,"보조 지표, 선정에 미사용",7498,425,434,7073,84,1000,original_matching_event_start_date_blocks,26.530657420895785,20.897160491531228,33.84044026408891,1000,-26.721447617042447,-34.26992983256412,-20.924867064469925,1000,0.0012724445072812103,0.0,0.003264903330173301,1000,26.721447617042447,20.924867064469925,34.26992983256412,1000,762.0,577.0,949.0,1000,0.5168539325842697,0.4228348472336912,0.5941724238591028,1000
