horizon,candidate,stage,reference_only,eligible,selected,reason,incumbent_before,final_model
4,lgbm_residual_cbl,point,True,False,False,h4_reference_only,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2
16,lgbm_residual_cbl,point,False,True,True,challenger_false_alarm_ci,c3_holiday_hybrid,lgbm_residual_cbl
16,q95_rolling_672,risk_q95,False,False,False,top_coverage_error_smaller;last_fold_top_coverage_higher,lgbm_quantile_b,lgbm_quantile_b
16,q95_aci_005,risk_q95,False,False,False,top_coverage_error_smaller;last_fold_top_coverage_higher,lgbm_quantile_b,lgbm_quantile_b
16,q95_aci_010,risk_q95,False,False,False,top_coverage_error_smaller;last_fold_top_coverage_higher,lgbm_quantile_b,lgbm_quantile_b
16,q95_aci_050,risk_q95,False,False,False,top_coverage_error_smaller;last_fold_top_coverage_higher,lgbm_quantile_b,lgbm_quantile_b
96,lgbm_residual_cbl,point,False,False,False,last_fold_peak_mae_ge_1p10_incumbent,c3_holiday_hybrid,c3_holiday_hybrid
96,q95_rolling_672,risk_q95,False,False,False,last_fold_top_coverage_higher,lgbm_quantile_b,lgbm_quantile_b
96,q95_aci_005,risk_q95,False,False,False,last_fold_top_coverage_higher,lgbm_quantile_b,lgbm_quantile_b
96,q95_aci_010,risk_q95,False,False,False,last_fold_top_coverage_higher,lgbm_quantile_b,lgbm_quantile_b
96,q95_aci_050,risk_q95,False,False,False,last_fold_top_coverage_higher,lgbm_quantile_b,lgbm_quantile_b
