hypothesis_id,horizon,model,effect,estimate,ci_low,ci_high,p_raw,n_positive_folds,bootstrap_valid_draws,p_holm,verdict,selection_p_gate,note
M1_h4,4,lgbm_residual_cbl,peak_mae_improvement,-5.309090319677944,-7.752897007695972,-2.3521577595148484,1.0,1,1000,1.0,기각,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
M1_h16,16,lgbm_residual_cbl,peak_mae_improvement,-4.492441608661224,-12.072682890844597,0.4065570982226366,0.8941058941058941,2,1000,1.0,미입증,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
M1_h96,96,lgbm_residual_cbl,peak_mae_improvement,-6.4609257443392005,-11.003541158125673,-2.6518723945346028,0.996003996003996,0,1000,1.0,기각,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
M4_h16_q95_aci_005_top_coverage_error_improvement,16,q95_aci_005,top_coverage_error_improvement,-0.041343669250646,-0.066777631393215,-0.0122020592020591,0.999000999000999,0,1000,1.0,기각,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
M4_h16_q95_aci_005_pinball_allowance,16,q95_aci_005,pinball_allowance,0.1391763186999144,0.1137612465960913,0.1630132819313525,0.0009990009990009,3,1000,0.026973026973024297,통과,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
M4_h16_q95_aci_005_last_fold_top_coverage_improvement,16,q95_aci_005,last_fold_top_coverage_improvement,-0.0805687203791468,-0.1509612805150675,0.0080841421638595,0.983016983016983,0,1000,1.0,미입증,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
M4_h16_q95_aci_010_top_coverage_error_improvement,16,q95_aci_010,top_coverage_error_improvement,-0.0478036175710594,-0.0701831671690238,-0.0246162322468302,1.0,0,1000,1.0,기각,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
M4_h16_q95_aci_010_pinball_allowance,16,q95_aci_010,pinball_allowance,0.145684836331599,0.1170419029139636,0.1732044479250037,0.0009990009990009,3,1000,0.026973026973024297,통과,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
M4_h16_q95_aci_010_last_fold_top_coverage_improvement,16,q95_aci_010,last_fold_top_coverage_improvement,-0.0995260663507108,-0.1559642201834861,-0.0335012363769576,0.999000999000999,0,1000,1.0,기각,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
M4_h16_q95_aci_050_top_coverage_error_improvement,16,q95_aci_050,top_coverage_error_improvement,-0.0478036175710594,-0.0686673642007892,-0.0224974472990778,1.0,0,1000,1.0,기각,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
M4_h16_q95_aci_050_pinball_allowance,16,q95_aci_050,pinball_allowance,0.1476866700218739,0.1156657028575313,0.1801910651022516,0.0009990009990009,3,1000,0.026973026973024297,통과,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
M4_h16_q95_aci_050_last_fold_top_coverage_improvement,16,q95_aci_050,last_fold_top_coverage_improvement,-0.0853080568720379,-0.128889663182346,-0.0299215437737663,1.0,0,1000,1.0,기각,False,Holm은 증거 강도 보고용; 기존 선정 및 사전 채택 문턱을 변경하지 않음
