fold,origin,target_time,source_start,prep_minutes,source_status,eligible_alert_order_for_source,scenario,horizon,alarm_source,scenario_label,evaluation_phase,selected_point_model,selected_risk_model
0,2021-04-15 04:15:00,2021-04-15 08:15:00,2021-04-15 08:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 08:00:00,2021-04-15 12:00:00,2021-04-15 11:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 09:15:00,2021-04-15 13:15:00,2021-04-15 13:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 09:30:00,2021-04-15 13:30:00,2021-04-15 13:00:00,30,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 09:45:00,2021-04-15 13:45:00,2021-04-15 13:00:00,30,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 10:00:00,2021-04-15 14:00:00,2021-04-15 13:00:00,30,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 10:30:00,2021-04-15 14:30:00,2021-04-15 14:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 10:45:00,2021-04-15 14:45:00,2021-04-15 14:00:00,30,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 11:00:00,2021-04-15 15:00:00,2021-04-15 14:00:00,30,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 11:30:00,2021-04-15 15:30:00,2021-04-15 15:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 11:45:00,2021-04-15 15:45:00,2021-04-15 15:00:00,30,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-15 12:00:00,2021-04-15 16:00:00,2021-04-15 15:00:00,30,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 04:15:00,2021-04-16 08:15:00,2021-04-16 08:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 04:30:00,2021-04-16 08:30:00,2021-04-16 08:00:00,30,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 04:45:00,2021-04-16 08:45:00,2021-04-16 08:00:00,30,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 05:00:00,2021-04-16 09:00:00,2021-04-16 08:00:00,30,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 05:15:00,2021-04-16 09:15:00,2021-04-16 09:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 05:30:00,2021-04-16 09:30:00,2021-04-16 09:00:00,30,source_eligible,2.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 05:45:00,2021-04-16 09:45:00,2021-04-16 09:00:00,30,source_eligible,3.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 06:00:00,2021-04-16 10:00:00,2021-04-16 09:00:00,30,source_eligible,4.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
0,2021-04-16 06:45:00,2021-04-16 10:45:00,2021-04-16 10:00:00,30,source_eligible,1.0,D,16,original_operational,사후 관측 생산량 기반 가정 시나리오,P2_fixed_selected_combination,lgbm_residual_cbl,lgbm_quantile_b
