variable,dtype,missing
power,float64,0
time_repaired,bool,0
production_target,int64,0
temperature,float64,0
wind_speed,float64,12
humidity,int64,0
precipitation,float64,4
headcount,float64,68
labor_cost,float64,0
tariff_2021_raw,float64,0
missing_power,bool,0
zero_power,bool,0
iqr_outlier,bool,0
production_completed,float64,18504
production_completed_bad,bool,0
production_known,float64,3
production_known_bad,bool,0
production_hour_date,datetime64[ns],0
missing_production_target,bool,0
missing_temperature,bool,0
missing_wind_speed,bool,0
missing_humidity,bool,0
missing_precipitation,bool,0
missing_headcount,bool,0
missing_labor_cost,bool,0
missing_tariff_2021_raw,bool,0
zero_run_length,int64,0
