stage,model,adopted,metric_domain,previous_model,selected_final,is_selected_point_model,n,peak_n,mae,rmse,mape_nonzero,peak_mae,position_tp,position_fp,position_fn,position_f1,episode_tp,episode_fp,episode_fn,episode_f1,false_alarms_positions,timing_mae_minutes,magnitude_mae,vs_cbl_gain,vs_cbl_gain_ci_low,vs_cbl_gain_ci_high,vs_cbl_improvement_fraction,vs_cbl_improvement_ci_low,vs_cbl_improvement_ci_high,vs_cbl_paired_peak_n,vs_previous_gain,vs_previous_gain_ci_low,vs_previous_gain_ci_high,vs_previous_improvement_fraction,vs_previous_improvement_ci_low,vs_previous_improvement_ci_high,vs_previous_paired_peak_n,brier,pr_auc,coverage_0.1,top_coverage_0.1,pinball_0.1,coverage_0.5,top_coverage_0.5,pinball_0.5,coverage_0.9,top_coverage_0.9,pinball_0.9,coverage_0.95,top_coverage_0.95,pinball_0.95,coverage_0.975,top_coverage_0.975,pinball_0.975,pinball_mean,vs_previous_top_coverage_error_reduction_0.9,vs_previous_top_coverage_error_reduction_0.95,vs_previous_pinball_improvement_fraction
CBL 대표,c2a_max_4_5_adjusted,True,point,,False,False,7551,425,16.005493201783427,26.91665428632484,46.561446226298635,18.25612745098039,369,1156,56,0.37846153846153846,97,145,51,0.49743589743589745,1156,26.443298969072163,12.480884879725085,0.0,0.0,0.0,0.0,0.0,0.0,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persistence 대표,p1_latest,True,point,c2a_max_4_5_adjusted,False,False,7551,425,16.264733147927426,27.460041881717444,17.264677284342334,34.258823529411764,322,1843,103,0.24864864864864866,69,162,79,0.3641160949868074,1843,64.1304347826087,2.2028985507246377,-16.002696078431374,-19.570206659934158,-12.25204866483765,-0.8765657514935894,-1.3288413457484303,-0.5337545292734535,425.0,-16.002696078431374,-19.570206659934158,-12.25204866483765,-0.8765657514935894,-1.3288413457484303,-0.5337545292734535,425.0,,,,,,,,,,,,,,,,,,,,,
LightGBM 기본,lgbm_no_holiday,True,point,p1_latest,False,False,7551,425,8.668338085111419,13.779078497897618,15.590416940000368,19.1784285243709,366,687,59,0.4952638700947226,93,107,55,0.5344827586206896,687,35.32258064516129,15.073230235526854,-0.9223010733905112,-6.383661395873719,6.167264912109862,-0.050520082962117074,-0.4569441232258169,0.26536386668182,425.0,15.080395005040863,10.041742662597798,21.192619732631886,0.4401901014520856,0.3228681857275402,0.5509063678773753,425.0,,,,,,,,,,,,,,,,,,,,,
공휴일 특징 후보,lgbm,False,point,lgbm_no_holiday,False,False,7551,425,8.587085443980703,13.661620892612847,15.62967491547719,18.584690060007354,383,762,42,0.4878980891719745,103,109,45,0.5722222222222222,762,26.650485436893202,14.471084326628224,-0.3285626090269644,-5.851347319627834,6.898420836295959,-0.01799738799530126,-0.4096870797126664,0.29436107094063385,425.0,0.5937384643635468,0.11993444787607448,1.1161455864611693,0.03095866085216814,0.006379992786478951,0.058218946795628175,425.0,,,,,,,,,,,,,,,,,,,,,
피크 가중 2 후보,lgbm_no_holiday_weight_2,True,point,lgbm_no_holiday,False,True,7551,425,8.184787134927438,13.164047883714053,14.328062693916769,14.44309769830177,379,593,46,0.5425912670007158,98,87,50,0.5885885885885885,593,33.673469387755105,12.051492903238387,3.81302975267862,-0.9259927696793501,9.869083914036514,0.20886301122278006,-0.0627155390173545,0.41845739182475034,425.0,4.735330826069132,3.4284366480658646,5.820442849277649,0.24690921991088743,0.18976636364993543,0.28704286227737075,425.0,,,,,,,,,,,,,,,,,,,,,
피크 가중 4 후보,lgbm_no_holiday_weight_4,True,point,lgbm_no_holiday,False,False,7551,425,8.777944436299654,13.992932388253593,16.60343171949979,16.443907229175863,394,606,31,0.5529824561403509,104,108,44,0.5777777777777777,606,27.115384615384617,12.785586940943421,1.8122202218045256,-4.223109715642886,9.376841047166213,0.0992664094107869,-0.2912845440440266,0.4107576668621326,425.0,2.734521295195037,1.7981638811118918,3.8409919543973015,0.14258317837252177,0.0848949386176281,0.22301921223376614,425.0,,,,,,,,,,,,,,,,,,,,,
분위수 원본,lgbm_quantile_raw,True,uncertainty,,False,False,7551,425,7.236959906738231,12.931347082173911,11.493613555375495,17.963138863295004,386,457,39,0.6088328075709779,104,95,44,0.5994236311239193,457,23.365384615384617,14.655518250716394,,,,,,,,,,,,,,,0.029724201161262596,0.7106995566055805,0.15878691564031255,0.025179856115107913,1.8124643678883594,0.531585220500596,0.4592326139088729,3.6184799533691154,0.8400211892464574,0.7266187050359713,1.9996317712445666,0.9141835518474374,0.8045563549160671,1.3260709021101134,0.9528539266322341,0.854916067146283,0.930529983923663,1.9374353957071633,,,
전역 보정 A,lgbm_quantile_a,True,uncertainty,lgbm_quantile_raw,False,False,7551,425,7.236959906738231,12.931347082173911,11.493613555375495,17.963138863295004,407,669,18,0.5423051299133911,103,120,45,0.555256064690027,669,30.145631067961165,15.625344312302168,,,,,,,,,,,,,,,0.02941756934206155,0.7145070750276477,0.15878691564031255,0.025179856115107913,1.8124643678883594,0.531585220500596,0.4592326139088729,3.6184799533691154,0.857767183154549,0.7218225419664268,1.986315982072402,0.9298106211097867,0.8141486810551559,1.2872887728304474,0.9675539663620712,0.8836930455635491,0.8746602752906887,1.9158418702902025,-0.004796163069544446,0.00959232613908878,0.011145417010965247
구간별 보정 B,lgbm_quantile_b,True,uncertainty,lgbm_quantile_a,False,False,7551,425,7.236959906738231,12.931347082173911,11.493613555375495,17.963138863295004,383,383,42,0.6431570109151973,94,60,54,0.6225165562913907,383,26.48936170212766,15.641926366836467,,,,,,,,,,,,,,,0.02900980426910916,0.7093210424320526,0.15878691564031255,0.025179856115107913,1.8124643678883594,0.531585220500596,0.4592326139088729,3.6184799533691154,0.8780294000794596,0.8812949640287769,1.8704624487360553,0.9400079459674215,0.9292565947242206,1.1909114072813844,0.9800026486558072,0.9976019184652278,0.8166623952400258,1.861796114502988,0.15947242206235013,0.1151079136690647,0.028209925164140972
최종 점예측,lgbm_no_holiday_weight_2,True,point,lgbm_no_holiday_weight_4,True,True,7551,425,8.184787134927438,13.164047883714053,14.328062693916769,14.44309769830177,379,593,46,0.5425912670007158,98,87,50,0.5885885885885885,593,33.673469387755105,12.051492903238387,3.81302975267862,-0.9259927696793501,9.869083914036514,0.20886301122278006,-0.0627155390173545,0.41845739182475034,425.0,2.0008095308740943,-0.1147803021346723,3.722910791817196,0.12167482478398606,-0.008307623993971686,0.19898176767218517,425.0,,,,,,,,,,,,,,,,,,,,,
