model,n,peak_n,mae,rmse,mape_nonzero,peak_mae,position_tp,position_fp,position_fn,position_f1,episode_tp,episode_fp,episode_fn,episode_f1,false_alarms_positions,timing_mae_minutes,magnitude_mae,brier,pr_auc,coverage_0.1,top_coverage_0.1,pinball_0.1,coverage_0.5,top_coverage_0.5,pinball_0.5,coverage_0.9,top_coverage_0.9,pinball_0.9,coverage_0.95,top_coverage_0.95,pinball_0.95,coverage_0.975,top_coverage_0.975,pinball_0.975,pinball_mean
c1_mid_6_10,7551,425,43.21895554672671,65.72351734729722,172.1278284832054,14.228627450980396,306,1520,119,0.2718791648156375,89,190,59,0.4168618266978923,1520,17.191011235955056,12.037453183520606,,,,,,,,,,,,,,,,,,
c1a_mid_6_10_adjusted,7551,425,16.345088582821997,26.959061232882636,49.08705816661418,19.03166666666667,362,933,63,0.42093023255813955,95,134,53,0.5039787798408488,933,26.68421052631579,10.724561403508773,,,,,,,,,,,,,,,,,,
c2_max_4_5,7551,425,41.48218778969673,65.49948126072792,164.8114542457493,11.770588235294118,323,1687,102,0.26529774127310063,76,193,72,0.3645083932853717,1687,20.32894736842105,7.378289473684211,,,,,,,,,,,,,,,,,,
c2a_max_4_5_adjusted,7551,425,16.005493201783427,26.91665428632484,46.561446226298635,18.25612745098039,369,1156,56,0.37846153846153846,97,145,51,0.49743589743589745,1156,26.443298969072163,12.480884879725085,,,,,,,,,,,,,,,,,,
c3_holiday_hybrid,7551,425,20.137873570829473,36.793684814675004,60.28772865613591,15.28509803921569,323,969,102,0.37623762376237624,89,128,59,0.4876712328767123,969,17.865168539325843,12.069288389513115,,,,,,,,,,,,,,,,,,
c3_holiday_mid_4_6,7551,425,20.137873570829473,36.793684814675004,60.28772865613591,15.28509803921569,323,969,102,0.37623762376237624,89,128,59,0.4876712328767123,969,17.865168539325843,12.069288389513115,,,,,,,,,,,,,,,,,,
lgbm,7551,425,8.587085443980703,13.661620892612847,15.62967491547719,18.584690060007354,383,762,42,0.4878980891719745,103,109,45,0.5722222222222222,762,26.650485436893202,14.471084326628224,,,,,,,,,,,,,,,,,,
lgbm_no_holiday,7551,425,8.668338085111419,13.779078497897618,15.590416940000368,19.1784285243709,366,687,59,0.4952638700947226,93,107,55,0.5344827586206896,687,35.32258064516129,15.073230235526854,,,,,,,,,,,,,,,,,,
lgbm_no_holiday_weight_2,7551,425,8.184787134927438,13.164047883714053,14.328062693916769,14.44309769830177,379,593,46,0.5425912670007158,98,87,50,0.5885885885885885,593,33.673469387755105,12.051492903238387,,,,,,,,,,,,,,,,,,
lgbm_no_holiday_weight_4,7551,425,8.777944436299654,13.992932388253593,16.60343171949979,16.443907229175863,394,606,31,0.5529824561403509,104,108,44,0.5777777777777777,606,27.115384615384617,12.785586940943421,,,,,,,,,,,,,,,,,,
lgbm_quantile_a,7551,425,7.236959906738231,12.931347082173911,11.493613555375495,17.963138863295004,407,669,18,0.5423051299133911,103,120,45,0.555256064690027,669,30.145631067961165,15.625344312302168,0.02941756934206155,0.7145070750276477,0.15878691564031255,0.025179856115107913,1.8124643678883594,0.531585220500596,0.4592326139088729,3.6184799533691154,0.857767183154549,0.7218225419664268,1.986315982072402,0.9298106211097867,0.8141486810551559,1.2872887728304474,0.9675539663620712,0.8836930455635491,0.8746602752906887,1.9158418702902025
lgbm_quantile_b,7551,425,7.236959906738231,12.931347082173911,11.493613555375495,17.963138863295004,383,383,42,0.6431570109151973,94,60,54,0.6225165562913907,383,26.48936170212766,15.641926366836467,0.02900980426910916,0.7093210424320526,0.15878691564031255,0.025179856115107913,1.8124643678883594,0.531585220500596,0.4592326139088729,3.6184799533691154,0.8780294000794596,0.8812949640287769,1.8704624487360553,0.9400079459674215,0.9292565947242206,1.1909114072813844,0.9800026486558072,0.9976019184652278,0.8166623952400258,1.861796114502988
lgbm_quantile_raw,7551,425,7.236959906738231,12.931347082173911,11.493613555375495,17.963138863295004,386,457,39,0.6088328075709779,104,95,44,0.5994236311239193,457,23.365384615384617,14.655518250716394,0.029724201161262596,0.7106995566055805,0.15878691564031255,0.025179856115107913,1.8124643678883594,0.531585220500596,0.4592326139088729,3.6184799533691154,0.8400211892464574,0.7266187050359713,1.9996317712445666,0.9141835518474374,0.8045563549160671,1.3260709021101134,0.9528539266322341,0.854916067146283,0.930529983923663,1.9374353957071633
lgbm_weight_2,7551,425,8.807566943830256,13.970218607156772,16.542464310679353,17.396810232939078,384,621,41,0.5370629370629371,104,109,44,0.5761772853185596,621,24.51923076923077,13.25197970461741,,,,,,,,,,,,,,,,,,
lgbm_weight_4,7551,425,8.854755495878473,14.111993066963935,16.499804044079298,16.580573554039837,399,653,26,0.5402843601895735,106,114,42,0.5760869565217391,653,25.471698113207548,12.917214360516486,,,,,,,,,,,,,,,,,,
