criterion,adopted,holiday_mae_improvement,overall_mae_improvement,peak_mae_improvement,base_false_alarms,weighted_false_alarms,top_coverage_a,top_coverage_b,pinball_a,pinball_b,spearman,ci95,episodes
h1_holiday,True,"{'estimate': 0.07014355514630065, 'ci95': [0.004192334691893758, 0.14331761581065677], 'n': 2695}","{'estimate': 0.25747389027887974, 'ci95': [0.1399992398883545, 0.3945923632501202], 'n': 7564}",,,,,,,,,,
h1_weight_2,False,,,"{'estimate': 0.5098504817683618, 'ci95': [0.2690929117442732, 0.7652856385409028], 'n': 416}",607.0,800.0,,,,,,,
h1_weight_4,True,,,"{'estimate': 0.6942737271912911, 'ci95': [0.19248731000430958, 1.3493060479374777], 'n': 416}",607.0,504.0,,,,,,,
h1_mondrian,True,,,,,,0.8730538922155688,0.9281437125748503,1.1469416117725957,1.1397476126731072,,,
h1_expected_exceedance,True,,,,,,,,,,0.8628612708266595,"[0.7965698753257224, 0.8956253690827658]",144.0
h4_holiday,False,"{'estimate': 0.01879818270721785, 'ci95': [-0.08001616394884321, 0.11167175580434711], 'n': 2696}","{'estimate': 0.08125264113071506, 'ci95': [-0.010435211595326389, 0.17957655901660485], 'n': 7551}",,,,,,,,,,
h4_weight_2,True,,,"{'estimate': 4.73533082606913, 'ci95': [3.428436648065865, 5.820442849277651], 'n': 425}",687.0,593.0,,,,,,,
h4_weight_4,True,,,"{'estimate': 2.7345212951950355, 'ci95': [1.7981638811118952, 3.840991954397303], 'n': 425}",687.0,606.0,,,,,,,
h4_mondrian,True,,,,,,0.8141486810551559,0.9292565947242206,1.9158418702902025,1.861796114502988,,,
h4_expected_exceedance,True,,,,,,,,,,0.6731289083119373,"[0.524720260672653, 0.7835914948017733]",148.0
h16_holiday,True,"{'estimate': 0.9234390440880079, 'ci95': [0.2874811896458482, 1.6757587611287568], 'n': 2700}","{'estimate': 0.911417353457678, 'ci95': [0.18270045161675774, 1.8472727679556782], 'n': 7498}",,,,,,,,,,
h16_weight_2,False,,,"{'estimate': -0.40920779633114684, 'ci95': [-2.906557416273317, 1.8889946547128331], 'n': 425}",852.0,914.0,,,,,,,
h16_weight_4,True,,,"{'estimate': 2.9908814595155664, 'ci95': [-2.1899768058922042, 7.659058363432565], 'n': 425}",852.0,851.0,,,,,,,
h16_mondrian,True,,,,,,0.7997416020671835,0.91343669250646,3.4220401802522344,3.351834774076308,,,
h16_expected_exceedance,True,,,,,,,,,,0.7008470390323651,"[0.5796627414863255, 0.780505539806841]",148.0
h96_holiday,False,"{'estimate': -1.933178919573162, 'ci95': [-3.3057174873644946, -0.7323291100792922], 'n': 2599}","{'estimate': -1.166602911813309, 'ci95': [-1.814813387108016, -0.5933098525877049], 'n': 7155}",,,,,,,,,,
h96_weight_2,True,,,"{'estimate': 2.0962178522236368, 'ci95': [-0.8188966123672093, 4.72188986768534], 'n': 369}",682.0,745.0,,,,,,,
h96_weight_4,False,,,"{'estimate': 3.4209740070507895, 'ci95': [-0.8108687164442361, 7.105317500664682], 'n': 369}",682.0,822.0,,,,,,,
h96_mondrian,True,,,,,,0.8171683389074693,0.8651059085841695,7.426981359748796,7.114973156531785,,,
h96_expected_exceedance,True,,,,,,,,,,0.5981338806778037,"[0.4470741521093691, 0.7153070345198933]",133.0
