horizon,ratio,rule,prep_minutes,true_episodes,missed_episodes,false_episodes,episode_hit_rate,false_alarm_positions_per_operating_hour,actionable_alert_positions,nonactionable_alert_positions,actionable_tp_episodes,actionable_episode_hit_rate,mean_actionable_lead_minutes
4,0.01,1/1,15,9,139,3,0.060810810810810814,3.774864256389882,7551,0,9,0.060810810810810814,7595.0
4,0.01,1/1,30,9,139,3,0.060810810810810814,3.774864256389882,7551,0,9,0.060810810810810814,7580.0
4,0.01,1/1,60,9,139,3,0.060810810810810814,3.774864256389882,7551,0,9,0.060810810810810814,7550.0
4,0.01,2/2,15,9,139,2,0.060810810810810814,3.768507482452655,7539,0,9,0.060810810810810814,7580.0
4,0.01,2/2,30,9,139,2,0.060810810810810814,3.768507482452655,7539,0,9,0.060810810810810814,7565.0
4,0.01,2/2,60,9,139,2,0.060810810810810814,3.768507482452655,7539,0,9,0.060810810810810814,7535.0
4,0.01,2/3,15,9,139,2,0.060810810810810814,3.762680439676864,7528,0,9,0.060810810810810814,7565.0
4,0.01,2/3,30,9,139,2,0.060810810810810814,3.762680439676864,7528,0,9,0.060810810810810814,7550.0
4,0.01,2/3,60,9,139,2,0.060810810810810814,3.762680439676864,7528,0,9,0.060810810810810814,7520.0
4,0.05,1/1,15,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,100,0.6756756756756757,67.65
4,0.05,1/1,30,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,100,0.6756756756756757,52.65
4,0.05,1/1,60,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,97,0.6554054054054054,23.814432989690722
4,0.05,2/2,15,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,94,0.6351351351351351,54.8936170212766
4,0.05,2/2,30,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,94,0.6351351351351351,39.8936170212766
4,0.05,2/2,60,94,54,117,0.6351351351351351,0.35491987816183285,1051,0,66,0.44594594594594594,20.90909090909091
4,0.05,2/3,15,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,72,0.4864864864864865,71.66666666666667
4,0.05,2/3,30,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,72,0.4864864864864865,56.666666666666664
4,0.05,2/3,60,72,76,72,0.4864864864864865,0.5021851410409217,1343,0,55,0.3716216216216216,40.09090909090909
4,0.1,1/1,15,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,100,0.6756756756756757,67.65
4,0.1,1/1,30,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,100,0.6756756756756757,52.65
4,0.1,1/1,60,100,48,142,0.6756756756756757,0.4640444974175606,1293,0,97,0.6554054054054054,23.814432989690722
