model,alpha,segment,coverage,coverage_error,scoring_n,total_n,ci_low,ci_high,target_days
lgbm_quantile_raw,0.9,전체,0.8400211892464574,0.05997881075354261,7551,7551,0.8187568792912866,0.8593190470113612,85
lgbm_quantile_raw,0.9,상위 예측,0.7266187050359713,0.17338129496402876,834,7551,0.6470538776048537,0.8051304827755124,48
lgbm_quantile_raw,0.95,전체,0.9141835518474374,0.035816448152562574,7551,7551,0.8971945606140982,0.9293905619144607,85
lgbm_quantile_raw,0.95,상위 예측,0.8045563549160671,0.14544364508393282,834,7551,0.7319408698155073,0.8746949921974748,48
lgbm_quantile_a,0.9,전체,0.857767183154549,0.04223281684545099,7551,7551,0.8341007906473848,0.8788844690894904,85
lgbm_quantile_a,0.9,상위 예측,0.7218225419664268,0.1781774580335732,834,7551,0.6534689964143947,0.7925301573426573,48
lgbm_quantile_a,0.95,전체,0.9298106211097867,0.020189378890213217,7551,7551,0.9160208413186601,0.9419014016729882,85
lgbm_quantile_a,0.95,상위 예측,0.8141486810551559,0.13585131894484404,834,7551,0.7522194497753062,0.8728499948416383,48
lgbm_quantile_b,0.9,전체,0.8780294000794596,0.0219705999205404,7551,7551,0.8580086165892966,0.8953479397390959,85
lgbm_quantile_b,0.9,상위 예측,0.8812949640287769,0.018705035971223083,834,7551,0.8186713993868312,0.9356666666666668,48
lgbm_quantile_b,0.95,전체,0.9400079459674215,0.009992054032578412,7551,7551,0.9268357983063987,0.9509287607589195,85
lgbm_quantile_b,0.95,상위 예측,0.9292565947242206,0.020743405275779336,834,7551,0.891690505066061,0.9638420431700991,48
