fold,date,n,missed_upper,actual_peak
0,2021-04-14,1,0,0
0,2021-04-15,18,0,4
0,2021-04-16,16,0,4
0,2021-04-19,12,0,0
0,2021-04-20,2,0,0
0,2021-04-21,3,0,0
0,2021-04-22,2,0,0
0,2021-04-23,2,0,0
0,2021-04-26,21,0,0
0,2021-04-27,4,0,0
0,2021-04-28,2,0,0
0,2021-04-30,2,0,0
0,2021-05-03,20,0,4
0,2021-05-04,13,1,3
0,2021-05-06,19,0,4
0,2021-05-07,8,0,2
0,2021-05-09,5,0,0
0,2021-05-10,8,0,0
0,2021-05-11,14,0,1
1,2021-05-31,23,0,0
1,2021-06-01,23,2,8
1,2021-06-02,29,3,11
1,2021-06-03,20,0,1
1,2021-06-04,7,0,0
1,2021-06-07,26,0,3
1,2021-06-08,15,0,1
1,2021-06-09,25,0,6
1,2021-06-10,13,0,0
1,2021-06-11,10,0,0
1,2021-06-14,35,1,20
1,2021-06-15,33,3,12
1,2021-06-16,35,2,9
1,2021-06-17,31,3,16
1,2021-06-18,27,0,5
1,2021-06-21,32,2,20
1,2021-06-22,25,1,5
1,2021-06-23,13,0,0
1,2021-06-24,23,1,5
1,2021-06-25,32,0,13
2,2021-07-08,14,2,8
2,2021-07-09,14,0,5
2,2021-07-12,18,0,16
2,2021-07-23,18,1,17
2,2021-07-26,22,2,20
2,2021-07-27,25,7,22
2,2021-07-28,27,10,26
2,2021-07-29,22,8,18
2,2021-07-30,25,10,25
