factor,value,n,mae,peak_n,tp,fn,fp,peak_recall,false_alert_rate
time_block,00-08,2488,7.415856899965401,0,0,0,3,,0.0012057877813504824
time_block,08-16,2503,10.44515388742744,366,326,40,303,0.8907103825136612,0.1417875526438933
time_block,16-24,2560,6.7220529330047984,59,57,2,77,0.9661016949152542,0.03078768492602959
weekday,Friday,1151,9.217086716329637,98,95,3,87,0.9693877551020408,0.08262108262108261
weekday,Monday,1083,11.150669272191495,115,103,12,97,0.8956521739130435,0.10020661157024793
weekday,Saturday,1172,4.5312081384470995,0,0,0,3,,0.002559726962457338
weekday,Sunday,1140,4.350209638636547,3,0,3,3,0.0,0.002638522427440633
weekday,Thursday,1070,9.58281599119067,83,74,9,81,0.891566265060241,0.08206686930091185
weekday,Tuesday,949,9.599160154747661,63,56,7,67,0.8888888888888888,0.07562076749435666
weekday,Wednesday,986,9.619934076899671,63,55,8,45,0.873015873015873,0.04875406283856988
month,4,1568,10.855203444322138,10,4,6,40,0.4,0.025673940949935817
month,5,1492,9.285501270806922,40,14,26,59,0.35,0.040633608815427
month,6,2432,6.274958479505828,140,133,7,157,0.95,0.06849912739965096
month,7,1252,8.503908001052757,230,230,0,125,1.0,0.1223091976516634
month,8,807,6.221572391102624,5,2,3,2,0.4,0.0024937655860349127
offday,offday,2408,4.733565867079433,3,0,3,6,0.0,0.002494802494802495
offday,workday,5143,9.80068074040634,422,383,39,377,0.9075829383886256,0.07985596271976277
production_quintile,"(-0.001, 154.0]",4536,6.616088582922612,11,8,3,16,0.7272727272727273,0.0035359116022099448
production_quintile,"(154.0, 935.0]",1508,9.961582800693504,137,118,19,131,0.8613138686131386,0.09555069292487235
production_quintile,"(935.0, 6579.0]",1507,11.128522216492577,277,257,20,236,0.927797833935018,0.191869918699187
old_tariff_band,mid_peak,2420,7.318481808628783,87,81,6,111,0.9310344827586207,0.04757822546078011
old_tariff_band,off_peak,3854,8.304484441585567,75,56,19,52,0.7466666666666667,0.013760254035459116
old_tariff_band,peak,1277,9.465245607740528,263,246,17,220,0.935361216730038,0.21696252465483234
