status,start,end,actual_max,peak_time,alarm_start,duration_intervals,overlapping_alarm_count,missed_reason
TP,2021-04-15 09:00:00,2021-04-15 09:00:00,179.0,2021-04-15 09:00:00,2021-04-15 08:45:00,1,1.0,
TP,2021-04-15 13:15:00,2021-04-15 13:45:00,182.0,2021-04-15 13:15:00,2021-04-15 13:30:00,3,1.0,
FN,2021-04-15 15:45:00,2021-04-15 15:45:00,179.0,2021-04-15 15:45:00,,1,0.0,no_overlap
TP,2021-04-16 09:00:00,2021-04-16 09:00:00,179.0,2021-04-16 09:00:00,2021-04-16 08:45:00,1,1.0,
FN,2021-04-16 13:15:00,2021-04-16 13:45:00,182.0,2021-04-16 13:15:00,,3,0.0,no_overlap
TP,2021-04-16 15:45:00,2021-04-16 15:45:00,179.0,2021-04-16 15:45:00,2021-04-16 15:45:00,1,1.0,
TP,2021-05-03 08:30:00,2021-05-03 09:30:00,184.0,2021-05-03 08:30:00,2021-05-03 09:15:00,5,1.0,
TP,2021-05-03 12:00:00,2021-05-03 12:00:00,179.0,2021-05-03 12:00:00,2021-05-03 10:30:00,1,1.0,
TP,2021-05-03 13:15:00,2021-05-03 14:00:00,182.0,2021-05-03 13:45:00,2021-05-03 13:30:00,4,1.0,
FN,2021-05-04 08:30:00,2021-05-04 08:30:00,181.0,2021-05-04 08:30:00,,1,0.0,no_overlap
TP,2021-05-04 09:45:00,2021-05-04 09:45:00,177.0,2021-05-04 09:45:00,2021-05-04 09:45:00,1,1.0,
TP,2021-05-04 11:15:00,2021-05-04 11:15:00,178.0,2021-05-04 11:15:00,2021-05-04 10:30:00,1,1.0,
FN,2021-05-04 15:00:00,2021-05-04 15:00:00,180.0,2021-05-04 15:00:00,,1,0.0,no_overlap
FN,2021-05-04 15:45:00,2021-05-04 15:45:00,177.0,2021-05-04 15:45:00,,1,0.0,no_overlap
TP,2021-05-06 08:30:00,2021-05-06 10:00:00,199.0,2021-05-06 09:00:00,2021-05-06 09:45:00,7,1.0,
TP,2021-05-06 11:00:00,2021-05-06 11:00:00,177.0,2021-05-06 11:00:00,2021-05-06 10:30:00,1,1.0,
FN,2021-05-06 11:45:00,2021-05-06 11:45:00,179.0,2021-05-06 11:45:00,,1,1.0,one_to_one_assignment
TP,2021-05-07 08:45:00,2021-05-07 09:00:00,181.0,2021-05-07 09:00:00,2021-05-07 08:45:00,2,1.0,
FN,2021-05-09 08:30:00,2021-05-09 09:00:00,184.0,2021-05-09 09:00:00,,3,0.0,no_overlap
FN,2021-05-10 08:30:00,2021-05-10 09:00:00,184.0,2021-05-10 09:00:00,,3,0.0,no_overlap
FN,2021-05-11 08:45:00,2021-05-11 08:45:00,177.0,2021-05-11 08:45:00,,1,0.0,no_overlap
TP,2021-05-11 10:00:00,2021-05-11 10:00:00,177.0,2021-05-11 10:00:00,2021-05-11 09:45:00,1,1.0,
FN,2021-05-11 13:15:00,2021-05-11 13:15:00,185.0,2021-05-11 13:15:00,,1,0.0,no_overlap
FN,2021-05-12 08:30:00,2021-05-12 08:45:00,178.0,2021-05-12 08:45:00,,2,0.0,no_overlap
FN,2021-05-12 11:30:00,2021-05-12 11:30:00,183.0,2021-05-12 11:30:00,,1,0.0,no_overlap
FN,2021-05-12 13:30:00,2021-05-12 13:30:00,184.0,2021-05-12 13:30:00,,1,0.0,no_overlap
FN,2021-05-12 14:00:00,2021-05-12 14:00:00,179.0,2021-05-12 14:00:00,,1,0.0,no_overlap
TP,2021-06-01 08:30:00,2021-06-01 09:00:00,195.0,2021-06-01 09:00:00,2021-06-01 08:45:00,3,1.0,
TP,2021-06-01 10:00:00,2021-06-01 10:00:00,182.0,2021-06-01 10:00:00,2021-06-01 09:45:00,1,1.0,
TP,2021-06-01 10:30:00,2021-06-01 11:30:00,187.0,2021-06-01 11:00:00,2021-06-01 10:30:00,5,1.0,
TP,2021-06-02 09:30:00,2021-06-02 10:00:00,180.0,2021-06-02 09:30:00,2021-06-02 08:30:00,3,1.0,
TP,2021-06-02 10:45:00,2021-06-02 11:15:00,191.0,2021-06-02 10:45:00,2021-06-02 10:30:00,3,1.0,
TP,2021-06-02 13:30:00,2021-06-02 14:00:00,189.0,2021-06-02 13:30:00,2021-06-02 13:15:00,3,1.0,
TP,2021-06-02 14:45:00,2021-06-02 15:00:00,180.0,2021-06-02 14:45:00,2021-06-02 14:30:00,2,1.0,
TP,2021-06-03 08:30:00,2021-06-03 08:30:00,181.0,2021-06-03 08:30:00,2021-06-03 08:30:00,1,1.0,
TP,2021-06-07 08:45:00,2021-06-07 09:15:00,182.0,2021-06-07 08:45:00,2021-06-07 08:30:00,3,1.0,
TP,2021-06-07 13:45:00,2021-06-07 13:45:00,182.0,2021-06-07 13:45:00,2021-06-07 13:30:00,1,1.0,
FN,2021-06-07 14:45:00,2021-06-07 14:45:00,180.0,2021-06-07 14:45:00,,1,0.0,no_overlap
FN,2021-06-08 16:00:00,2021-06-08 16:00:00,180.0,2021-06-08 16:00:00,,1,0.0,no_overlap
FN,2021-06-09 09:30:00,2021-06-09 09:45:00,179.0,2021-06-09 09:30:00,,2,0.0,no_overlap
TP,2021-06-09 10:30:00,2021-06-09 10:45:00,180.0,2021-06-09 10:30:00,2021-06-09 10:30:00,2,1.0,
TP,2021-06-09 11:45:00,2021-06-09 11:45:00,178.0,2021-06-09 11:45:00,2021-06-09 11:45:00,1,1.0,
TP,2021-06-09 14:00:00,2021-06-09 14:00:00,181.0,2021-06-09 14:00:00,2021-06-09 14:00:00,1,1.0,
TP,2021-06-14 08:45:00,2021-06-14 09:30:00,204.0,2021-06-14 09:00:00,2021-06-14 08:30:00,4,1.0,
FN,2021-06-14 10:00:00,2021-06-14 10:00:00,180.0,2021-06-14 10:00:00,,1,1.0,one_to_one_assignment
TP,2021-06-14 10:30:00,2021-06-14 10:45:00,180.0,2021-06-14 10:30:00,2021-06-14 10:30:00,2,1.0,
FN,2021-06-14 11:30:00,2021-06-14 11:45:00,190.0,2021-06-14 11:30:00,,2,1.0,one_to_one_assignment
TP,2021-06-14 13:30:00,2021-06-14 14:15:00,192.0,2021-06-14 13:45:00,2021-06-14 13:15:00,4,1.0,
TP,2021-06-14 15:30:00,2021-06-14 16:15:00,192.0,2021-06-14 16:00:00,2021-06-14 15:30:00,4,1.0,
TP,2021-06-14 18:00:00,2021-06-14 18:30:00,182.0,2021-06-14 18:15:00,2021-06-14 18:00:00,3,1.0,
TP,2021-06-15 08:30:00,2021-06-15 09:30:00,198.0,2021-06-15 08:45:00,2021-06-15 08:15:00,5,1.0,
FN,2021-06-15 10:00:00,2021-06-15 10:00:00,188.0,2021-06-15 10:00:00,,1,1.0,one_to_one_assignment
TP,2021-06-15 10:45:00,2021-06-15 10:45:00,181.0,2021-06-15 10:45:00,2021-06-15 10:30:00,1,1.0,
FN,2021-06-15 11:30:00,2021-06-15 11:30:00,180.0,2021-06-15 11:30:00,,1,1.0,one_to_one_assignment
FN,2021-06-15 12:00:00,2021-06-15 12:00:00,184.0,2021-06-15 12:00:00,,1,1.0,one_to_one_assignment
TP,2021-06-15 14:15:00,2021-06-15 14:30:00,182.0,2021-06-15 14:15:00,2021-06-15 13:15:00,2,1.0,
TP,2021-06-15 16:45:00,2021-06-15 16:45:00,181.0,2021-06-15 16:45:00,2021-06-15 16:45:00,1,1.0,
TP,2021-06-16 08:30:00,2021-06-16 08:45:00,185.0,2021-06-16 08:30:00,2021-06-16 08:15:00,2,1.0,
FN,2021-06-16 09:45:00,2021-06-16 10:00:00,192.0,2021-06-16 10:00:00,,2,1.0,one_to_one_assignment
TP,2021-06-16 10:30:00,2021-06-16 11:15:00,193.0,2021-06-16 10:45:00,2021-06-16 10:30:00,4,1.0,
TP,2021-06-16 15:45:00,2021-06-16 15:45:00,180.0,2021-06-16 15:45:00,2021-06-16 15:30:00,1,1.0,
TP,2021-06-17 08:15:00,2021-06-17 09:30:00,197.0,2021-06-17 08:45:00,2021-06-17 08:15:00,6,1.0,
FN,2021-06-17 10:00:00,2021-06-17 10:00:00,179.0,2021-06-17 10:00:00,,1,1.0,one_to_one_assignment
TP,2021-06-17 11:15:00,2021-06-17 11:30:00,190.0,2021-06-17 11:30:00,2021-06-17 10:30:00,2,1.0,
TP,2021-06-17 13:30:00,2021-06-17 14:00:00,192.0,2021-06-17 13:45:00,2021-06-17 13:15:00,3,1.0,
TP,2021-06-17 14:30:00,2021-06-17 14:30:00,179.0,2021-06-17 14:30:00,2021-06-17 14:30:00,1,1.0,
FN,2021-06-17 15:00:00,2021-06-17 15:00:00,189.0,2021-06-17 15:00:00,,1,1.0,one_to_one_assignment
TP,2021-06-17 15:30:00,2021-06-17 15:45:00,179.0,2021-06-17 15:30:00,2021-06-17 15:30:00,2,1.0,
