fold,target_time,episode_end,intervals,actual_max_excess,predicted_max_pointwise_excess,signed_error,absolute_error,status
0,2021-04-15 09:00:00,2021-04-15 09:00:00,1,2.5,2.7892378235146174,0.28923782351461735,0.28923782351461735,evaluated
0,2021-04-15 13:15:00,2021-04-15 13:45:00,3,5.5,2.041141300988615,-3.458858699011385,3.458858699011385,evaluated
0,2021-04-15 15:45:00,2021-04-15 15:45:00,1,2.5,1.1395619901251113,-1.3604380098748887,1.3604380098748887,evaluated
0,2021-04-16 09:00:00,2021-04-16 09:00:00,1,2.5,2.9250433448036013,0.4250433448036013,0.4250433448036013,evaluated
0,2021-04-16 13:15:00,2021-04-16 13:45:00,3,5.5,1.7977533670445691,-3.702246632955431,3.702246632955431,evaluated
0,2021-04-16 15:45:00,2021-04-16 15:45:00,1,2.5,2.3592521517717584,-0.1407478482282416,0.1407478482282416,evaluated
0,2021-05-03 08:30:00,2021-05-03 09:30:00,5,7.5,3.709280402039966,-3.790719597960034,3.790719597960034,evaluated
0,2021-05-03 12:00:00,2021-05-03 12:00:00,1,2.5,3.057147916058023,0.5571479160580228,0.5571479160580228,evaluated
0,2021-05-03 13:15:00,2021-05-03 14:00:00,4,5.5,2.6078415640970327,-2.8921584359029673,2.8921584359029673,evaluated
0,2021-05-04 08:30:00,2021-05-04 08:30:00,1,4.5,3.000834593781041,-1.499165406218959,1.499165406218959,evaluated
0,2021-05-04 09:45:00,2021-05-04 09:45:00,1,0.5,3.3236579397930504,2.8236579397930504,2.8236579397930504,evaluated
0,2021-05-04 11:15:00,2021-05-04 11:15:00,1,1.5,2.669645973088363,1.1696459730883628,1.1696459730883628,evaluated
0,2021-05-04 15:00:00,2021-05-04 15:00:00,1,3.5,0.1023818729505842,-3.397618127049416,3.397618127049416,evaluated
0,2021-05-04 15:45:00,2021-05-04 15:45:00,1,0.5,0.0115670698516479,-0.4884329301483521,0.4884329301483521,evaluated
0,2021-05-06 08:30:00,2021-05-06 10:00:00,7,22.5,3.6413594148389,-18.8586405851611,18.8586405851611,evaluated
0,2021-05-06 11:00:00,2021-05-06 11:00:00,1,0.5,2.9355923716444186,2.4355923716444186,2.4355923716444186,evaluated
0,2021-05-06 11:45:00,2021-05-06 11:45:00,1,2.5,4.328800204650898,1.8288002046508982,1.8288002046508982,evaluated
0,2021-05-07 08:45:00,2021-05-07 09:00:00,2,4.5,2.9889892299468177,-1.5110107700531823,1.5110107700531823,evaluated
0,2021-05-09 08:30:00,2021-05-09 09:00:00,3,7.5,0.2385738076496349,-7.261426192350365,7.261426192350365,evaluated
0,2021-05-10 08:30:00,2021-05-10 09:00:00,3,7.5,2.1846155347561105,-5.3153844652438895,5.3153844652438895,evaluated
0,2021-05-11 08:45:00,2021-05-11 08:45:00,1,0.5,2.601842711336872,2.101842711336872,2.101842711336872,evaluated
0,2021-05-11 10:00:00,2021-05-11 10:00:00,1,0.5,2.4252027960938656,1.9252027960938656,1.9252027960938656,evaluated
0,2021-05-11 13:15:00,2021-05-11 13:15:00,1,8.5,0.2272221140459621,-8.272777885954039,8.272777885954039,evaluated
0,2021-05-12 08:30:00,2021-05-12 08:45:00,2,1.5,0.6043598720705897,-0.8956401279294103,0.8956401279294103,evaluated
0,2021-05-12 11:30:00,2021-05-12 11:30:00,1,6.5,0.1590040760809716,-6.340995923919029,6.340995923919029,evaluated
0,2021-05-12 13:30:00,2021-05-12 13:30:00,1,7.5,0.3829798242410299,-7.11702017575897,7.11702017575897,evaluated
0,2021-05-12 14:00:00,2021-05-12 14:00:00,1,2.5,0.1536049099476847,-2.346395090052315,2.346395090052315,evaluated
1,2021-06-01 08:30:00,2021-06-01 09:00:00,3,18.0,0.590158198344171,-17.40984180165583,17.40984180165583,evaluated
1,2021-06-01 10:00:00,2021-06-01 10:00:00,1,5.0,1.9186988071391824,-3.081301192860818,3.081301192860818,evaluated
1,2021-06-01 10:30:00,2021-06-01 11:30:00,5,10.0,2.355683849770668,-7.644316150229332,7.644316150229332,evaluated
1,2021-06-02 09:30:00,2021-06-02 10:00:00,3,3.0,1.386408357709838,-1.613591642290162,1.613591642290162,evaluated
1,2021-06-02 10:45:00,2021-06-02 11:15:00,3,14.0,4.097593639272932,-9.902406360727067,9.902406360727067,evaluated
1,2021-06-02 13:30:00,2021-06-02 14:00:00,3,12.0,3.849091089183432,-8.150908910816568,8.150908910816568,evaluated
1,2021-06-02 14:45:00,2021-06-02 15:00:00,2,3.0,1.733205668193063,-1.266794331806937,1.266794331806937,evaluated
1,2021-06-03 08:30:00,2021-06-03 08:30:00,1,4.0,1.8966455676168856,-2.1033544323831146,2.1033544323831146,evaluated
1,2021-06-07 08:45:00,2021-06-07 09:15:00,3,5.0,3.751487678931816,-1.2485123210681839,1.2485123210681839,evaluated
1,2021-06-07 13:45:00,2021-06-07 13:45:00,1,5.0,0.8517480600368906,-4.148251939963109,4.148251939963109,evaluated
1,2021-06-07 14:45:00,2021-06-07 14:45:00,1,3.0,0.4111736242742004,-2.5888263757257994,2.5888263757257994,evaluated
1,2021-06-08 16:00:00,2021-06-08 16:00:00,1,3.0,0.1763054032663659,-2.823694596733634,2.823694596733634,evaluated
1,2021-06-09 09:30:00,2021-06-09 09:45:00,2,2.0,0.3246149118741099,-1.67538508812589,1.67538508812589,evaluated
