fold,origin,target_time,stored_y,source_y,target_repaired,target_weekday,target_hour,current_time,current_feature,current_source,lag_96_time,lag_96_feature,lag_96_source,lag_672_time,lag_672_feature,lag_672_source,target_slot_1d_ago_time,target_slot_1d_ago_feature,target_slot_1d_ago_source,target_slot_7d_ago_time,target_slot_7d_ago_feature,target_slot_7d_ago_source
0,2021-04-15 11:15:00,2021-04-16 11:15:00,164.0,164.0,False,4,11,2021-04-15 11:15:00,164.0,164.0,2021-04-14 11:15:00,164.0,164.0,2021-04-08 11:15:00,167.0,167.0,2021-04-15 11:15:00,164.0,164.0,2021-04-09 11:15:00,173.0,173.0
0,2021-04-19 09:15:00,2021-04-20 09:15:00,167.0,167.0,False,1,9,2021-04-19 09:15:00,167.0,167.0,2021-04-18 09:15:00,20.0,20.0,2021-04-12 09:15:00,166.0,166.0,2021-04-19 09:15:00,167.0,167.0,2021-04-13 09:15:00,166.0,166.0
0,2021-04-23 07:30:00,2021-04-24 07:30:00,72.0,72.0,False,5,7,2021-04-23 07:30:00,108.0,108.0,2021-04-22 07:30:00,108.0,108.0,2021-04-16 07:30:00,100.0,100.0,2021-04-23 07:30:00,108.0,108.0,2021-04-17 07:30:00,79.0,79.0
0,2021-04-27 05:30:00,2021-04-28 05:30:00,71.0,71.0,False,2,5,2021-04-27 05:30:00,69.0,69.0,2021-04-26 05:30:00,69.0,69.0,2021-04-20 05:30:00,20.0,20.0,2021-04-27 05:30:00,69.0,69.0,2021-04-21 05:30:00,69.0,69.0
0,2021-05-01 03:45:00,2021-05-02 03:45:00,21.0,21.0,False,6,3,2021-05-01 03:45:00,100.0,100.0,2021-04-30 03:45:00,103.0,103.0,2021-04-24 03:45:00,104.0,104.0,2021-05-01 03:45:00,100.0,100.0,2021-04-25 03:45:00,20.0,20.0
0,2021-05-05 01:45:00,2021-05-06 01:45:00,21.0,21.0,False,3,1,2021-05-05 01:45:00,105.0,105.0,2021-05-04 01:45:00,117.0,117.0,2021-04-28 01:45:00,107.0,107.0,2021-05-05 01:45:00,105.0,105.0,2021-04-29 01:45:00,107.0,107.0
0,2021-05-09 00:00:00,2021-05-10 00:00:00,84.0,84.0,False,0,0,2021-05-09 00:00:00,23.0,23.0,2021-05-08 00:00:00,60.0,60.0,2021-05-02 00:00:00,21.0,21.0,2021-05-09 00:00:00,23.0,23.0,2021-05-03 00:00:00,25.0,25.0
1,2021-05-29 05:30:00,2021-05-30 05:30:00,21.0,21.0,False,6,5,2021-05-29 05:30:00,72.0,72.0,2021-05-28 05:30:00,71.0,71.0,2021-05-22 05:30:00,62.0,62.0,2021-05-29 05:30:00,72.0,72.0,2021-05-23 05:30:00,21.0,21.0
1,2021-06-02 03:45:00,2021-06-03 03:45:00,107.0,107.0,False,3,3,2021-06-02 03:45:00,110.0,110.0,2021-06-01 03:45:00,101.0,101.0,2021-05-26 03:45:00,106.0,106.0,2021-06-02 03:45:00,110.0,110.0,2021-05-27 03:45:00,93.0,93.0
1,2021-06-06 01:45:00,2021-06-07 01:45:00,22.0,22.0,False,0,1,2021-06-06 01:45:00,24.0,24.0,2021-06-05 01:45:00,116.0,116.0,2021-05-30 01:45:00,21.0,21.0,2021-06-06 01:45:00,24.0,24.0,2021-05-31 01:45:00,21.0,21.0
1,2021-06-10 00:00:00,2021-06-11 00:00:00,88.0,88.0,False,4,0,2021-06-10 00:00:00,79.0,79.0,2021-06-09 00:00:00,82.0,82.0,2021-06-03 00:00:00,72.0,72.0,2021-06-10 00:00:00,79.0,79.0,2021-06-04 00:00:00,81.0,81.0
1,2021-06-13 22:00:00,2021-06-14 22:00:00,125.0,125.0,False,0,22,2021-06-13 22:00:00,22.0,22.0,2021-06-12 22:00:00,23.0,23.0,2021-06-06 22:00:00,22.0,22.0,2021-06-13 22:00:00,22.0,22.0,2021-06-07 22:00:00,111.0,111.0
1,2021-06-17 20:15:00,2021-06-18 20:15:00,119.0,119.0,False,4,20,2021-06-17 20:15:00,133.0,133.0,2021-06-16 20:15:00,108.0,108.0,2021-06-10 20:15:00,122.0,122.0,2021-06-17 20:15:00,133.0,133.0,2021-06-11 20:15:00,113.0,113.0
1,2021-06-21 18:15:00,2021-06-22 18:15:00,164.0,164.0,False,1,18,2021-06-21 18:15:00,155.0,155.0,2021-06-20 18:15:00,22.0,22.0,2021-06-14 18:15:00,182.0,182.0,2021-06-21 18:15:00,155.0,155.0,2021-06-15 18:15:00,161.0,161.0
2,2021-07-07 19:15:00,2021-07-08 19:15:00,141.0,141.0,False,3,19,2021-07-07 19:15:00,164.0,164.0,2021-07-06 19:15:00,153.0,153.0,2021-06-30 19:15:00,162.0,162.0,2021-07-07 19:15:00,164.0,164.0,2021-07-01 19:15:00,163.0,163.0
2,2021-07-11 17:15:00,2021-07-12 17:15:00,125.0,125.0,False,0,17,2021-07-11 17:15:00,23.0,23.0,2021-07-10 17:15:00,23.0,23.0,2021-07-04 17:15:00,22.0,22.0,2021-07-11 17:15:00,23.0,23.0,2021-07-05 17:15:00,128.0,128.0
2,2021-07-27 06:15:00,2021-07-28 06:15:00,123.0,123.0,False,2,6,2021-07-27 06:15:00,111.0,111.0,2021-07-26 06:15:00,25.0,25.0,2021-07-20 06:15:00,109.0,109.0,2021-07-27 06:15:00,111.0,111.0,2021-07-21 06:15:00,108.0,108.0
2,2021-07-31 13:00:00,2021-08-01 13:00:00,25.0,25.0,False,6,13,2021-07-31 13:00:00,21.0,21.0,2021-07-30 13:00:00,116.0,116.0,2021-07-24 13:00:00,23.0,23.0,2021-07-31 13:00:00,21.0,21.0,2021-07-25 13:00:00,26.0,26.0
2,2021-08-04 11:15:00,2021-08-05 11:15:00,21.0,21.0,False,3,11,2021-08-04 11:15:00,21.0,21.0,2021-08-03 11:15:00,21.0,21.0,2021-07-28 11:15:00,202.0,202.0,2021-08-04 11:15:00,21.0,21.0,2021-07-29 11:15:00,207.0,207.0
2,2021-08-08 09:30:00,2021-08-09 09:30:00,186.0,186.0,False,0,9,2021-08-08 09:30:00,21.0,21.0,2021-08-07 09:30:00,21.0,21.0,2021-08-01 09:30:00,21.0,21.0,2021-08-08 09:30:00,21.0,21.0,2021-08-02 09:30:00,21.0,21.0
