horizon,fold,partition,feature,n,missing_n,missing_rate
1,0,raw_train,current,8462,0,0.0
1,0,raw_train,lag_1,8462,1,0.0001181753722524226
1,0,raw_train,lag_2,8462,2,0.0002363507445048452
1,0,raw_train,lag_3,8462,3,0.0003545261167572678
1,0,raw_train,lag_4,8462,4,0.0004727014890096904
1,0,raw_train,lag_5,8462,5,0.000590876861262113
1,0,raw_train,lag_6,8462,6,0.0007090522335145356
1,0,raw_train,lag_7,8462,7,0.0008272276057669581
1,0,raw_train,lag_96,8462,96,0.011344835736232569
1,0,raw_train,lag_672,8462,672,0.07941385015362798
1,0,raw_train,target_slot_1d_ago,8462,95,0.011226660363980146
1,0,raw_train,target_slot_7d_ago,8462,671,0.07929567478137556
1,0,raw_train,recent_1_mean,8462,0,0.0
1,0,raw_train,recent_1_max,8462,0,0.0
1,0,raw_train,recent_1_std,8462,0,0.0
1,0,raw_train,recent_4_mean,8462,3,0.0003545261167572678
1,0,raw_train,recent_4_max,8462,3,0.0003545261167572678
1,0,raw_train,recent_4_std,8462,3,0.0003545261167572678
1,0,raw_train,recent_16_mean,8462,15,0.001772630583786339
1,0,raw_train,recent_16_max,8462,15,0.001772630583786339
1,0,raw_train,recent_16_std,8462,15,0.001772630583786339
1,0,raw_train,recent_96_mean,8462,95,0.011226660363980146
1,0,raw_train,recent_96_max,8462,95,0.011226660363980146
1,0,raw_train,recent_96_std,8462,95,0.011226660363980146
1,0,raw_train,recent_4_slope,8462,3,0.0003545261167572678
1,0,raw_train,peak_count_7d,8462,671,0.07929567478137556
1,0,raw_train,since_last_peak_intervals,8462,0,0.0
1,0,raw_train,target_hour,8462,0,0.0
1,0,raw_train,target_quarter,8462,0,0.0
1,0,raw_train,target_weekday,8462,0,0.0
1,0,raw_train,target_month,8462,0,0.0
1,0,raw_train,is_offday,8462,0,0.0
1,0,raw_train,pre_holiday,8462,0,0.0
1,0,raw_train,post_holiday,8462,0,0.0
1,0,raw_train,bridge_day,8462,0,0.0
1,0,raw_train,labor_day,8462,0,0.0
1,0,raw_train,production_completed_1h,8462,3,0.0003545261167572678
1,0,raw_train,production_completed_2h,8462,7,0.0008272276057669581
1,0,raw_train,production_completed_3h,8462,11,0.0012999290947766486
1,0,raw_train,production_previous_day_total,8462,95,0.011226660363980146
1,0,raw_train,production_same_slot_7d_mean,8462,675,0.07976837627038526
1,0,raw_train,cbl_mid_6_10,8462,1439,0.1700543606712361
1,0,raw_train,cbl_mid_6_10_adjusted,8462,1439,0.1700543606712361
1,0,raw_validation,current,4231,0,0.0
1,0,raw_validation,lag_1,4231,0,0.0
1,0,raw_validation,lag_2,4231,0,0.0
1,0,raw_validation,lag_3,4231,0,0.0
1,0,raw_validation,lag_4,4231,0,0.0
1,0,raw_validation,lag_5,4231,0,0.0
1,0,raw_validation,lag_6,4231,0,0.0
1,0,raw_validation,lag_7,4231,0,0.0
1,0,raw_validation,lag_96,4231,0,0.0
1,0,raw_validation,lag_672,4231,0,0.0
1,0,raw_validation,target_slot_1d_ago,4231,0,0.0
1,0,raw_validation,target_slot_7d_ago,4231,0,0.0
1,0,raw_validation,recent_1_mean,4231,0,0.0
1,0,raw_validation,recent_1_max,4231,0,0.0
1,0,raw_validation,recent_1_std,4231,0,0.0
1,0,raw_validation,recent_4_mean,4231,0,0.0
1,0,raw_validation,recent_4_max,4231,0,0.0
1,0,raw_validation,recent_4_std,4231,0,0.0
1,0,raw_validation,recent_16_mean,4231,0,0.0
1,0,raw_validation,recent_16_max,4231,0,0.0
1,0,raw_validation,recent_16_std,4231,0,0.0
