fold,horizon,tau,n_fit,n_stop,n_cal,n_score,fit_end,stop_end,cal_end,score_start,score_end,n_raw_train,n_raw_train_initial_valid,n_raw_train_final_valid,n_raw_train_target_repaired,n_raw_train_direct_repaired_dependency,n_raw_train_key_missing,n_raw_validation,n_raw_validation_initial_valid,n_raw_validation_final_valid,n_raw_validation_target_repaired,n_raw_validation_direct_repaired_dependency,n_raw_validation_key_missing
0,1,177.0,5617,1405,1480,2750,2021-03-15 12:00:00,2021-03-30 03:30:00,2021-04-14 13:45:00,2021-04-14 14:15:00,2021-05-13 05:30:00,8462,7023,7023,0,0,672,4231,4231,4231,0,0,0
1,1,177.0,9002,2251,1480,2750,2021-04-19 18:15:00,2021-05-13 05:15:00,2021-05-28 15:30:00,2021-05-28 16:00:00,2021-06-26 07:15:00,12693,11254,11254,0,0,672,4231,4231,4231,0,0,0
2,1,175.0,12387,3097,1111,2064,2021-05-25 00:30:00,2021-06-26 07:00:00,2021-07-07 21:00:00,2021-07-07 21:30:00,2021-08-09 09:15:00,16924,15485,15485,0,0,672,4232,3176,3176,192,578,388
0,4,176.5,5612,1404,1480,2746,2021-03-15 10:45:00,2021-03-30 02:45:00,2021-04-14 13:45:00,2021-04-14 15:00:00,2021-05-13 05:15:00,8459,7020,7020,0,0,672,4230,4230,4230,0,0,0
1,4,177.0,8996,2250,1480,2746,2021-04-19 16:45:00,2021-05-13 04:15:00,2021-05-28 15:15:00,2021-05-28 16:30:00,2021-06-26 06:45:00,12689,11250,11250,0,0,672,4230,4230,4230,0,0,0
2,4,175.0,12380,3096,1110,2059,2021-05-24 22:45:00,2021-06-26 05:45:00,2021-07-07 20:15:00,2021-07-07 21:30:00,2021-08-09 08:30:00,16919,15480,15480,0,0,672,4231,3173,3173,192,584,400
0,16,176.0,5590,1402,1479,2731,2021-03-15 05:15:00,2021-03-29 23:45:00,2021-04-14 13:30:00,2021-04-14 17:45:00,2021-05-13 04:15:00,8447,7008,7008,0,0,672,4226,4226,4226,0,0,0
1,16,177.0,8971,2247,1479,2731,2021-04-19 10:30:00,2021-05-13 00:15:00,2021-05-28 14:00:00,2021-05-28 18:15:00,2021-06-26 04:45:00,12673,11234,11234,0,0,672,4226,4226,4226,0,0,0
2,16,175.0,12352,3092,1104,2036,2021-05-24 15:45:00,2021-06-26 00:45:00,2021-07-07 16:45:00,2021-07-07 21:00:00,2021-08-09 05:30:00,16899,15460,15460,0,0,672,4227,3156,3156,192,608,448
0,96,176.0,5446,1386,1469,2634,2021-03-13 17:15:00,2021-03-29 03:45:00,2021-04-14 11:00:00,2021-04-15 11:15:00,2021-05-12 21:30:00,8367,6928,6928,0,0,672,4199,4199,4199,0,0,0
1,96,177.0,8805,2226,1470,2634,2021-04-17 17:00:00,2021-05-11 21:30:00,2021-05-28 05:00:00,2021-05-29 05:15:00,2021-06-25 15:30:00,12566,11127,11127,0,0,672,4200,4200,4200,0,0,0
2,96,175.0,12165,3066,1067,1887,2021-05-22 17:00:00,2021-06-24 15:30:00,2021-07-06 18:15:00,2021-07-07 18:30:00,2021-08-08 09:30:00,16766,15327,15327,0,0,672,4200,3050,3050,192,768,768
