fold,model,best_iteration,recorded_iterations,fit_n,stop_n,cal_n,score_n,oof_max_abs_difference,fresh_refit_max_abs_difference,fresh_best_iteration,n,peak_n,mae,rmse,mape_nonzero,peak_mae,position_tp,position_fp,position_fn,position_f1,episode_tp,episode_fp,episode_fn,episode_f1,false_alarms_positions,timing_mae_minutes,magnitude_mae
0,original_full,598.0,600.0,5446,1386,1469,2634,2.8421709430404014e-14,2.8421709430404014e-14,598.0,2634,44,30.390802681354625,45.332638069248375,73.51579913836862,45.22111088276954,31,435,13,0.1215686274509803,14,73,9,0.2545454545454545,435,27.857142857142858,9.396308476466746
0,original_no_holiday,600.0,600.0,5446,1386,1469,2634,2.8421709430404014e-14,2.8421709430404014e-14,600.0,2634,44,30.00735549957697,44.913650667316666,72.63990886522954,44.97868871000256,31,380,13,0.1362637362637362,14,73,9,0.2545454545454545,380,35.357142857142854,8.455751460178234
0,A_weekly_slot,,0.0,5446,1386,1469,2634,0.0,,,2634,44,20.58656036446469,39.76231107378727,40.05715998570567,43.95454545454545,35,591,9,0.1044776119402985,16,89,7,0.25,591,38.4375,12.25
0,B_four_features,205.0,265.0,5446,1386,1469,2634,,,,2634,44,27.6527059467739,45.11365048481378,82.64174070634704,23.730988757022885,32,192,12,0.2388059701492537,15,71,8,0.2752293577981651,192,14.0,9.111204250115255
1,original_full,43.0,103.0,8805,2226,1470,2634,2.8421709430404014e-14,2.8421709430404014e-14,43.0,2634,140,17.071108399458403,23.671065859726625,33.337307214152354,28.783615707494903,40,62,100,0.3305785123966942,10,12,55,0.2298850574712643,62,28.5,30.65679572022176
1,original_no_holiday,43.0,103.0,8805,2226,1470,2634,2.8421709430404014e-14,2.8421709430404014e-14,43.0,2634,140,17.071108399458403,23.671065859726625,33.337307214152354,28.783615707494903,40,62,100,0.3305785123966942,10,12,55,0.2298850574712643,62,28.5,30.65679572022176
1,A_weekly_slot,,0.0,8805,2226,1470,2634,0.0,,,2634,140,7.910782080485953,11.416279388650516,7.668838792275485,17.521428571428572,111,317,29,0.3908450704225352,49,76,16,0.5157894736842106,317,20.816326530612244,12.26530612244898
1,B_four_features,70.0,130.0,8805,2226,1470,2634,,,,2634,140,14.302552481868675,18.053517509685896,30.90829934145908,25.56730454050484,132,444,8,0.3687150837988827,44,62,21,0.5146198830409356,444,23.863636363636363,23.726683283337945
2,original_full,74.0,134.0,12165,3066,1067,1887,2.8421709430404014e-14,2.8421709430404014e-14,74.0,1887,185,56.50460257409773,67.7918909555991,207.88243194619537,51.32465963957036,175,356,10,0.4888268156424581,26,32,19,0.5048543689320388,356,43.26923076923077,54.17776726810676
2,original_no_holiday,59.0,119.0,12165,3066,1067,1887,2.8421709430404014e-14,2.8421709430404014e-14,59.0,1887,185,52.616396979385534,65.08588681268091,195.35172987737928,50.736342937055085,52,240,133,0.2180293501048218,6,21,39,0.1666666666666666,240,67.5,34.308127294171605
2,A_weekly_slot,,0.0,12165,3066,1067,1887,0.0,,,1887,185,35.46528881822999,65.26986496783933,148.10900580542824,16.65945945945946,180,335,5,0.5142857142857142,23,25,22,0.4946236559139785,335,58.69565217391305,8.73913043478261
2,B_four_features,81.0,141.0,12165,3066,1067,1887,,,,1887,185,36.716297560300895,54.2022550565857,143.97389020434483,36.53111704023832,175,274,10,0.5520504731861199,23,22,22,0.5111111111111111,274,45.0,37.695103930603416
pooled,original_full,,,26416,6678,4006,7155,,,,7155,369,32.37440375180768,46.635269617366085,94.16145789168566,42.04470761845979,246,853,123,0.335149863760218,50,117,83,0.3333333333333333,853,35.1,36.93476449687055
pooled,original_no_holiday,,,26416,6678,4006,7155,,,,7155,369,31.207800839994366,45.45436222938059,90.5342699415383,41.720845381150646,123,682,246,0.2095400340715502,30,106,103,0.2230483271375464,682,39.5,21.02657471365808
pooled,A_weekly_slot,,,26416,6678,4006,7155,,,,7155,369,19.84416491963662,41.8754417355217,56.630604435506,20.24119241192412,326,1243,43,0.3364293085655315,88,190,45,0.4282238442822384,1243,33.92045454545455,11.340909090909092
pooled,B_four_features,,,26416,6678,4006,7155,,,,7155,369,25.128414283344835,40.54677356594252,79.77212247400699,30.84510242120264,339,910,30,0.419035846724351,82,155,51,0.4432432432432432,910,27.25609756097561,24.951204185735666
