timing_error_minutes,magnitude_error
45.0,-10.07244468615039
105.0,-5.320051701631627
0.0,-3.7904495608717923
45.0,-9.660713733467077
30.0,-12.484593403131498
-15.0,-10.0948722846274
45.0,13.27233089522315
-60.0,3.374715436290842
75.0,-1.299841566641561
60.0,-8.728876674690014
-15.0,2.585193980052253
0.0,-13.464022752911319
15.0,-9.200563196539832
0.0,-1.8939525871620049
0.0,6.491117762900529
15.0,-6.711709859641843
15.0,-23.462361623118795
-15.0,-12.394206087420173
75.0,-4.130641156316898
90.0,-13.631356732704887
75.0,-3.164046747796391
-30.0,-13.19361608836175
15.0,-10.373839439617996
0.0,-8.657632778887404
0.0,-11.051562927463095
-60.0,-1.6992139498542258
15.0,-19.355204938887454
0.0,-14.989239187318987
0.0,-6.74687809013966
0.0,-6.621287932283252
0.0,16.99103942660912
15.0,-8.376253782473526
15.0,-7.650430532012024
-30.0,-6.627027448238692
75.0,-0.27337431212851016
0.0,-11.89694954677688
-15.0,-14.071751475211101
-15.0,-13.250583316449706
15.0,-2.8526589851155677
-30.0,-4.218243393586732
-15.0,-6.33341220737006
75.0,-16.624834188115102
-15.0,-1.4905689957109303
15.0,-19.19874845166879
15.0,-12.949418971908784
0.0,-13.870986004651826
15.0,-2.1258624759966267
-75.0,-10.73655706087618
-30.0,-9.251135880987647
15.0,-4.461659693075944
-15.0,-4.474437114061033
0.0,-19.484496695529913
-60.0,-19.75494622587817
-15.0,-6.041473846239626
-45.0,3.2366457668204305
75.0,-12.207642505097482
60.0,-10.552030704728338
-30.0,-11.215479784878823
15.0,-12.61936673375726
0.0,-11.967237446404368
-15.0,-14.4496776399576
-30.0,-6.984930608453084
60.0,-22.876033690401812
0.0,-19.306478600350147
-60.0,-8.964690229892483
0.0,-10.305075804817562
-90.0,-14.985980952025528
0.0,-16.275612743378446
-15.0,2.0131572701410505
-45.0,-8.82026265203811
-60.0,-11.77548661313358
-15.0,-14.517866558661211
90.0,-22.25670715627487
15.0,-17.204875966786716
0.0,-12.721326431177289
-15.0,-29.857466239201557
30.0,-3.0053016241546118
0.0,-24.785104959833973
30.0,-24.479926200051096
-60.0,-16.653660423693708
0.0,2.0536121459022922
0.0,-18.645842933635606
-180.0,-26.862385422638994
-45.0,-15.830858063341509
-15.0,-22.846022172570827
30.0,-15.085564492534843
150.0,-21.49222008112011
-60.0,-18.646979472086315
15.0,-17.904395681840356
135.0,-23.748642560661352
-15.0,-25.767332581064807
0.0,-7.891037942270486
-45.0,-10.247994803348035
0.0,-21.93966228120985
165.0,-22.840522502327588
-75.0,-19.199321501519506
0.0,-5.642622842746306
30.0,-19.43987393765545
