horizon,fold,tau_quantile,tau,n_fit,n_stop,n_cal,n_score,fit_end,stop_end,cal_end,score_start,score_end,reference_only,selection_used
1,0,0.95,177.0,5617,1405,1480,2750,2021-03-15 12:00:00,2021-03-30 03:30:00,2021-04-14 13:45:00,2021-04-14 14:15:00,2021-05-13 05:30:00,True,False
1,0,0.9,168.0,5617,1405,1480,2750,2021-03-15 12:00:00,2021-03-30 03:30:00,2021-04-14 13:45:00,2021-04-14 14:15:00,2021-05-13 05:30:00,True,False
1,0,0.975,182.0,5617,1405,1480,2750,2021-03-15 12:00:00,2021-03-30 03:30:00,2021-04-14 13:45:00,2021-04-14 14:15:00,2021-05-13 05:30:00,True,False
1,1,0.95,177.0,9002,2251,1480,2750,2021-04-19 18:15:00,2021-05-13 05:15:00,2021-05-28 15:30:00,2021-05-28 16:00:00,2021-06-26 07:15:00,True,False
1,1,0.9,169.0,9002,2251,1480,2750,2021-04-19 18:15:00,2021-05-13 05:15:00,2021-05-28 15:30:00,2021-05-28 16:00:00,2021-06-26 07:15:00,True,False
1,1,0.975,182.0,9002,2251,1480,2750,2021-04-19 18:15:00,2021-05-13 05:15:00,2021-05-28 15:30:00,2021-05-28 16:00:00,2021-06-26 07:15:00,True,False
1,2,0.95,175.0,12387,3097,1111,2064,2021-05-25 00:30:00,2021-06-26 07:00:00,2021-07-07 21:00:00,2021-07-07 21:30:00,2021-08-09 09:15:00,True,False
1,2,0.9,167.0,12387,3097,1111,2064,2021-05-25 00:30:00,2021-06-26 07:00:00,2021-07-07 21:00:00,2021-07-07 21:30:00,2021-08-09 09:15:00,True,False
1,2,0.975,181.0,12387,3097,1111,2064,2021-05-25 00:30:00,2021-06-26 07:00:00,2021-07-07 21:00:00,2021-07-07 21:30:00,2021-08-09 09:15:00,True,False
4,0,0.95,176.5,5612,1404,1480,2746,2021-03-15 10:45:00,2021-03-30 02:45:00,2021-04-14 13:45:00,2021-04-14 15:00:00,2021-05-13 05:15:00,True,False
4,0,0.9,168.0,5612,1404,1480,2746,2021-03-15 10:45:00,2021-03-30 02:45:00,2021-04-14 13:45:00,2021-04-14 15:00:00,2021-05-13 05:15:00,True,False
