tau_quantile,horizon,model,n,peak_n,mae,peak_mae,episode_f1,false_alarms_positions,peak_mae_ci95_low,peak_mae_ci95_high,episode_f1_ci95_low,episode_f1_ci95_high,false_alarm_ci95_low,false_alarm_ci95_high,reference_only,selection_used
0.9,1,c2a_max_4_5_adjusted,7564,726,13.011441256830599,12.956181129476583,0.625531914893617,657,10.76193644110477,15.943983050419005,0.5720816304098009,0.6712424072991587,514.95,806.025,True,False
0.9,1,p1_latest,7564,726,7.792041248016922,11.672176308539944,0.6282527881040892,531,11.054897959183673,12.379540452486008,0.5515529145444256,0.6979887328801575,426.925,642.0,True,False
0.9,1,s2_week,7564,726,19.43072448439979,17.830578512396695,0.573055028462998,939,13.401221590909092,24.698848512598513,0.5142751518352258,0.6208327459659608,708.0,1185.0,True,False
0.9,4,c2a_max_4_5_adjusted,7551,722,16.00549320178343,15.998182132963988,0.592436974789916,641,12.876191753810044,20.0935040143774,0.5350735552690189,0.644419798466316,531.0,757.0,True,False
0.9,4,lgbm_no_holiday_weight_2,7551,722,8.416851000320168,14.041842766094787,0.6289308176100629,673,11.6797417281601,16.530140760438,0.5728614202652988,0.6797906976744186,509.975,841.1249999999999,True,False
0.9,4,p1_latest,7551,722,16.264733147927426,30.5387811634349,0.48221343873517786,808,28.26599678899861,33.5917928502648,0.4120218253968254,0.5471707201803178,625.95,998.0,True,False
0.9,4,s2_week,7551,722,19.459409349755,17.85180055401662,0.5393258426966292,1035,13.401221590909092,24.752085252445497,0.48373329939214416,0.5884799509001637,784.95,1289.0,True,False
0.9,16,c3_holiday_hybrid,7498,721,20.335911798701876,13.346625057790105,0.5654008438818565,978,10.853747441520467,16.924555765622852,0.5134431053508449,0.611873083738854,740.0,1253.025,True,False
0.9,16,p3_recent_mean,7498,721,24.715757535342757,59.94556171983356,0.3113456464379947,1736,52.62882741087435,68.40957910421339,0.24841105402027497,0.33867462715095015,1252.975,2268.05,True,False
0.9,16,s2_week,7498,721,19.57415310749533,17.872399445214977,0.5406427221172023,1015,13.362764161560586,24.65317073170732,0.4855026376244363,0.5856047140381283,787.9,1257.0749999999998,True,False
0.9,96,c3_holiday_hybrid,7155,668,21.394665734917304,14.355913173652695,0.614406779661017,1129,11.424464362522395,18.505370083836798,0.5614828835429642,0.6651391302590631,885.0,1376.0749999999998,True,False
0.9,96,p1_latest,7155,668,35.98350803633822,50.31287425149701,0.44075829383886256,340,28.05788511310957,72.79304003614513,0.3506832403179435,0.520118514371034,223.95,498.07499999999993,True,False
0.9,96,s2_week,7155,668,19.84416491963662,18.79940119760479,0.5418326693227091,884,13.38299679195486,26.8385174759559,0.4879926421666471,0.5915716965810769,680.9,1111.05,True,False
0.95,1,c2a_max_4_5_adjusted,7564,416,13.011441256830599,14.660106169871794,0.49214659685863876,974,11.206890778792644,19.481261485566947,0.40220784071716253,0.5587579167516162,802.975,1147.05,True,False
0.95,1,p1_latest,7564,416,7.792041248016922,11.245192307692308,0.5268542199488491,865,10.405245719667663,12.127206909405636,0.4249599582172702,0.6208954790446983,615.0,1136.0,True,False
0.95,1,s2_week,7564,416,19.43072448439979,18.764423076923077,0.3393939393939394,1060,14.201875,26.46376324382414,0.2340968317103278,0.43481729879740977,749.875,1349.025,True,False
0.95,4,c2a_max_4_5_adjusted,7551,425,16.005493201783427,18.25612745098039,0.49743589743589745,1156,13.444678502399356,24.735196915665664,0.40906100478468904,0.5701493686479827,951.975,1375.025,True,False
0.95,4,lgbm_no_holiday_weight_2,7551,425,8.184787134927438,14.44309769830177,0.5885885885885885,593,12.347565344375665,17.168300093300104,0.5,0.6645786966445368,429.95,764.05,True,False
0.95,4,p1_latest,7551,425,16.264733147927426,34.258823529411764,0.3641160949868074,1843,30.55419829730657,39.748722646310426,0.28787439358785066,0.42606516290726815,1505.925,2192.075,True,False
0.95,4,s2_week,7551,425,19.459409349755,18.985882352941175,0.3323262839879154,1054,14.243910140743413,26.905890391254314,0.22805807622504537,0.43325520918250887,744.95,1340.0,True,False
0.95,16,c3_holiday_hybrid,7498,425,20.335911798701876,15.28509803921569,0.4958217270194986,978,12.255218663450378,20.062965080784227,0.40272500912271664,0.5787025091334386,699.925,1313.05,True,False
0.95,16,p3_recent_mean,7498,425,24.715757535342757,65.92235294117647,0.2525597269624573,1957,55.495625331038134,77.23579942647565,0.1726590492312033,0.2795834462817385,1484.8,2485.05,True,False
0.95,16,s2_week,7498,425,19.57415310749533,18.985882352941175,0.32934131736526945,993,13.934492449600318,26.849379472660313,0.22836700336700336,0.4266811145510836,716.975,1278.025,True,False
