horizon,tau_quantile,metric_peak_mae_rank,model,peak_mae,reference_rule_winner,reference_q95_winner,original_selected,reference_winner_changed_vs_q95,reference_winner_changed_vs_original,reference_only,selection_used
1,0.95,1,p1_latest,11.245192307692308,p1_latest,p1_latest,p1_latest,False,False,True,False
1,0.95,2,c2a_max_4_5_adjusted,14.660106169871794,p1_latest,p1_latest,p1_latest,False,False,True,False
1,0.95,3,s2_week,18.764423076923077,p1_latest,p1_latest,p1_latest,False,False,True,False
1,0.9,1,p1_latest,11.672176308539944,c2a_max_4_5_adjusted,p1_latest,p1_latest,True,True,True,False
1,0.9,2,c2a_max_4_5_adjusted,12.956181129476583,c2a_max_4_5_adjusted,p1_latest,p1_latest,True,True,True,False
1,0.9,3,s2_week,17.830578512396695,c2a_max_4_5_adjusted,p1_latest,p1_latest,True,True,True,False
1,0.975,1,p1_latest,10.87912087912088,p1_latest,p1_latest,p1_latest,False,False,True,False
1,0.975,2,c2a_max_4_5_adjusted,16.473214285714285,p1_latest,p1_latest,p1_latest,False,False,True,False
1,0.975,3,s2_week,18.963369963369964,p1_latest,p1_latest,p1_latest,False,False,True,False
4,0.95,1,lgbm_no_holiday_weight_2,14.44309769830177,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,False,False,True,False
4,0.95,2,c2a_max_4_5_adjusted,18.25612745098039,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,False,False,True,False
4,0.95,3,s2_week,18.985882352941175,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,False,False,True,False
4,0.95,4,p1_latest,34.258823529411764,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,False,False,True,False
4,0.9,1,lgbm_no_holiday_weight_2,14.041842766094787,c2a_max_4_5_adjusted,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,True,True,True,False
4,0.9,2,c2a_max_4_5_adjusted,15.998182132963988,c2a_max_4_5_adjusted,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,True,True,True,False
4,0.9,3,s2_week,17.85180055401662,c2a_max_4_5_adjusted,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,True,True,True,False
4,0.9,4,p1_latest,30.5387811634349,c2a_max_4_5_adjusted,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,True,True,True,False
4,0.975,1,s2_week,18.963369963369964,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,False,False,True,False
4,0.975,2,lgbm_no_holiday_weight_2,20.053708750014685,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,False,False,True,False
4,0.975,3,c2a_max_4_5_adjusted,20.328067765567766,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,False,False,True,False
4,0.975,4,p1_latest,34.53479853479853,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,False,False,True,False
16,0.95,1,c3_holiday_hybrid,15.28509803921569,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
16,0.95,2,s2_week,18.985882352941175,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
16,0.95,3,p3_recent_mean,65.92235294117647,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
16,0.9,1,c3_holiday_hybrid,13.346625057790105,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
16,0.9,2,s2_week,17.872399445214977,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
16,0.9,3,p3_recent_mean,59.94556171983356,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
16,0.975,1,c3_holiday_hybrid,15.938644688644688,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
16,0.975,2,s2_week,18.963369963369964,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
16,0.975,3,p3_recent_mean,73.85897435897436,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
96,0.95,1,c3_holiday_hybrid,16.742547425474253,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
96,0.95,2,s2_week,20.241192411924118,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
96,0.95,3,p1_latest,62.37669376693767,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
96,0.9,1,c3_holiday_hybrid,14.355913173652695,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
96,0.9,2,s2_week,18.79940119760479,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
96,0.9,3,p1_latest,50.31287425149701,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
96,0.975,1,c3_holiday_hybrid,18.046610169491526,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
96,0.975,2,s2_week,20.96186440677966,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
96,0.975,3,p1_latest,63.351694915254235,c3_holiday_hybrid,c3_holiday_hybrid,c3_holiday_hybrid,False,False,True,False
