start,end,peak_time,hour,type,actual_max,baseline_at_max,residual_at_max,tau
2021-04-15 09:00:00,2021-04-15 09:00:00,2021-04-15 09:00:00,9,excess_residual,179.0,105.24504832609134,73.75495167390866,176.5
2021-04-15 13:15:00,2021-04-15 13:45:00,2021-04-15 13:15:00,13,excess_residual,182.0,113.40800304223868,68.59199695776132,176.5
2021-04-15 15:45:00,2021-04-15 15:45:00,2021-04-15 15:45:00,15,excess_residual,179.0,100.91864523088219,78.08135476911781,176.5
2021-04-16 09:00:00,2021-04-16 09:00:00,2021-04-16 09:00:00,9,excess_residual,179.0,98.23509798025486,80.76490201974514,176.5
2021-04-16 13:15:00,2021-04-16 13:45:00,2021-04-16 13:15:00,13,excess_residual,182.0,124.54725939825674,57.45274060174326,176.5
2021-04-16 15:45:00,2021-04-16 15:45:00,2021-04-16 15:45:00,15,excess_residual,179.0,88.45400518422991,90.54599481577009,176.5
2021-05-03 08:30:00,2021-05-03 09:30:00,2021-05-03 08:30:00,8,excess_residual,184.0,121.21879933436833,62.78120066563167,176.5
2021-05-03 12:00:00,2021-05-03 12:00:00,2021-05-03 12:00:00,12,excess_residual,179.0,134.04366584797805,44.95633415202195,176.5
2021-05-03 13:15:00,2021-05-03 14:00:00,2021-05-03 13:45:00,13,excess_residual,182.0,99.82304558822524,82.17695441177476,176.5
2021-05-04 08:30:00,2021-05-04 08:30:00,2021-05-04 08:30:00,8,excess_residual,181.0,109.96202596258644,71.03797403741356,176.5
2021-05-04 09:45:00,2021-05-04 09:45:00,2021-05-04 09:45:00,9,excess_residual,177.0,157.71932242961813,19.28067757038187,176.5
2021-05-04 11:15:00,2021-05-04 11:15:00,2021-05-04 11:15:00,11,excess_residual,178.0,117.55542149645878,60.44457850354122,176.5
2021-05-04 15:00:00,2021-05-04 15:00:00,2021-05-04 15:00:00,15,excess_residual,180.0,106.824835840655,73.175164159345,176.5
2021-05-04 15:45:00,2021-05-04 15:45:00,2021-05-04 15:45:00,15,excess_residual,177.0,117.14610776920486,59.85389223079514,176.5
2021-05-06 08:30:00,2021-05-06 10:00:00,2021-05-06 09:00:00,9,excess_residual,199.0,96.87930003782813,102.12069996217187,176.5
2021-05-06 11:00:00,2021-05-06 11:00:00,2021-05-06 11:00:00,11,excess_residual,177.0,120.27226008673681,56.72773991326319,176.5
2021-05-06 11:45:00,2021-05-06 11:45:00,2021-05-06 11:45:00,11,excess_residual,179.0,133.38045348890975,45.61954651109025,176.5
2021-05-07 08:45:00,2021-05-07 09:00:00,2021-05-07 09:00:00,9,excess_residual,181.0,94.85944516218375,86.14055483781625,176.5
2021-05-09 08:30:00,2021-05-09 09:00:00,2021-05-09 09:00:00,9,excess_residual,184.0,76.81099945883834,107.18900054116166,176.5
2021-05-10 08:30:00,2021-05-10 09:00:00,2021-05-10 09:00:00,9,excess_residual,184.0,123.38387378421555,60.61612621578445,176.5
2021-05-11 08:45:00,2021-05-11 08:45:00,2021-05-11 08:45:00,8,excess_residual,177.0,114.4212106688132,62.5787893311868,176.5
2021-05-11 10:00:00,2021-05-11 10:00:00,2021-05-11 10:00:00,10,excess_residual,177.0,138.36537610520446,38.63462389479554,176.5
2021-05-11 13:15:00,2021-05-11 13:15:00,2021-05-11 13:15:00,13,excess_residual,185.0,161.89864529915326,23.10135470084674,176.5
2021-05-12 08:30:00,2021-05-12 08:45:00,2021-05-12 08:45:00,8,excess_residual,178.0,108.442507510275,69.557492489725,176.5
2021-05-12 11:30:00,2021-05-12 11:30:00,2021-05-12 11:30:00,11,excess_residual,183.0,117.67245713204828,65.32754286795172,176.5
2021-05-12 13:30:00,2021-05-12 13:30:00,2021-05-12 13:30:00,13,excess_residual,184.0,131.08790356025955,52.91209643974045,176.5
2021-05-12 14:00:00,2021-05-12 14:00:00,2021-05-12 14:00:00,14,excess_residual,179.0,130.5322707579586,48.4677292420414,176.5
2021-06-01 08:30:00,2021-06-01 09:00:00,2021-06-01 09:00:00,9,excess_residual,195.0,115.73209238392351,79.26790761607649,177.0
2021-06-01 10:00:00,2021-06-01 10:00:00,2021-06-01 10:00:00,10,excess_residual,182.0,100.8966283685985,81.1033716314015,177.0
2021-06-01 10:30:00,2021-06-01 11:30:00,2021-06-01 11:00:00,11,excess_residual,187.0,84.18074015952504,102.81925984047496,177.0
2021-06-02 09:30:00,2021-06-02 10:00:00,2021-06-02 09:30:00,9,excess_residual,180.0,101.66663494473198,78.33336505526802,177.0
2021-06-02 10:45:00,2021-06-02 11:15:00,2021-06-02 10:45:00,10,excess_residual,191.0,70.31237250583261,120.68762749416739,177.0
2021-06-02 13:30:00,2021-06-02 14:00:00,2021-06-02 13:30:00,13,production_explained,189.0,195.6527604185137,-6.652760418513708,177.0
2021-06-02 14:45:00,2021-06-02 15:00:00,2021-06-02 14:45:00,14,excess_residual,180.0,79.62323602637477,100.37676397362523,177.0
2021-06-03 08:30:00,2021-06-03 08:30:00,2021-06-03 08:30:00,8,excess_residual,181.0,103.80062309246799,77.19937690753201,177.0
2021-06-07 08:45:00,2021-06-07 09:15:00,2021-06-07 08:45:00,8,excess_residual,182.0,81.50823480714797,100.49176519285203,177.0
2021-06-07 13:45:00,2021-06-07 13:45:00,2021-06-07 13:45:00,13,excess_residual,182.0,81.42314087636714,100.57685912363286,177.0
2021-06-07 14:45:00,2021-06-07 14:45:00,2021-06-07 14:45:00,14,excess_residual,180.0,77.03763106810946,102.96236893189054,177.0
2021-06-08 16:00:00,2021-06-08 16:00:00,2021-06-08 16:00:00,16,excess_residual,180.0,77.71807418362815,102.28192581637185,177.0
2021-06-09 09:30:00,2021-06-09 09:45:00,2021-06-09 09:30:00,9,excess_residual,179.0,80.12633249200775,98.87366750799225,177.0
2021-06-09 10:30:00,2021-06-09 10:45:00,2021-06-09 10:30:00,10,excess_residual,180.0,170.95902132146063,9.040978678539375,177.0
2021-06-09 11:45:00,2021-06-09 11:45:00,2021-06-09 11:45:00,11,excess_residual,178.0,65.58705380630391,112.41294619369609,177.0
2021-06-09 14:00:00,2021-06-09 14:00:00,2021-06-09 14:00:00,14,excess_residual,181.0,81.91387069325688,99.08612930674312,177.0
2021-06-14 08:45:00,2021-06-14 09:30:00,2021-06-14 09:00:00,9,excess_residual,204.0,81.05739766680206,122.94260233319794,177.0
