horizon,model,selected_model,attribution_role,feature,mae_increase,rank
1,lgbm_no_holiday,p1_latest,development_comparator_not_selected,current,49.00463729717776,1
1,lgbm_no_holiday,p1_latest,development_comparator_not_selected,cbl_mid_6_10_adjusted,6.679922603704337,2
1,lgbm_no_holiday,p1_latest,development_comparator_not_selected,target_slot_7d_ago,2.8529536642346742,3
1,lgbm_no_holiday,p1_latest,development_comparator_not_selected,since_last_peak_intervals,0.6252247901212243,4
1,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_672,0.5239359877454882,5
1,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_7,0.3847603217188829,6
1,lgbm_no_holiday,p1_latest,development_comparator_not_selected,target_slot_1d_ago,0.38064128506893574,7
1,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_16_max,0.30896169019954717,8
1,lgbm_no_holiday,p1_latest,development_comparator_not_selected,recent_4_std,0.25951320045475884,9
1,lgbm_no_holiday,p1_latest,development_comparator_not_selected,lag_5,0.24194160635567172,10
4,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,selected_point_model,current,37.08991391926248,1
4,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,selected_point_model,target_slot_7d_ago,10.737937153248197,2
4,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,selected_point_model,cbl_mid_6_10_adjusted,7.07076106005988,3
4,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,selected_point_model,recent_16_max,2.3487087229392194,4
4,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,selected_point_model,since_last_peak_intervals,1.841626927131508,5
4,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,selected_point_model,lag_672,1.260331742759959,6
4,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,selected_point_model,cbl_mid_6_10,0.6757853155739264,7
4,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,selected_point_model,target_slot_1d_ago,0.4452989169295966,8
4,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,selected_point_model,lag_4,0.24611734040255162,9
4,lgbm_no_holiday_weight_2,lgbm_no_holiday_weight_2,selected_point_model,recent_96_max,0.23110520312212324,10
16,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,current,19.580188059541968,1
16,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_slot_7d_ago,19.25637325652443,2
16,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,cbl_mid_6_10_adjusted,6.897784682676263,3
16,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,cbl_mid_6_10,2.202146000556784,4
16,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_96_max,2.142592635678266,5
16,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_hour,1.5932668342307352,6
16,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_672,1.4365152896642257,7
16,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,since_last_peak_intervals,0.8946445402689602,8
16,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_weekday,0.8443100783424148,9
16,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_16_max,0.8084907508067977,10
96,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_slot_7d_ago,16.3529042391735,1
96,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_weekday,4.675954937636525,2
96,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,current,0.8977356254615586,3
96,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,lag_96,0.7507029682137336,4
96,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_16_max,0.5827683140957731,5
96,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_96_max,0.5376272460933499,6
96,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,target_hour,0.5014057858007885,7
96,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,recent_96_mean,0.25805708969869007,8
96,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,since_last_peak_intervals,0.19483690072952972,9
96,lgbm_no_holiday,c3_holiday_hybrid,development_comparator_not_selected,cbl_mid_6_10_adjusted,0.1568453274017069,10
