bin,bin_left,bin_right,n,mean_predicted,events,observed_rate,observed_rate_ci_low,observed_rate_ci_high,distinct_days
0,0.0,0.1,6605,0.028150016495263892,28,0.004239212717638153,0.001780192024138375,0.007114095239590229,85
1,0.1,0.2,250,0.1510667669648,34,0.136,0.08363403417544597,0.1949178915535551,54
2,0.2,0.30000000000000004,215,0.24766806210903167,64,0.29767441860465116,0.21253092965712267,0.37756346441015426,45
3,0.30000000000000004,0.4,200,0.3462064520793842,90,0.45,0.3640771106438191,0.550244721478425,33
4,0.4,0.5,134,0.44635919910868727,98,0.7313432835820896,0.6,0.8301915380217267,23
5,0.5,0.6000000000000001,99,0.5436214249036483,64,0.6464646464646465,0.43948051948051947,0.8272805642633229,14
6,0.6000000000000001,0.7000000000000001,27,0.6425580270430193,26,0.9629629629629629,0.8856868131868132,1.0,8
7,0.7000000000000001,0.8,6,0.7437165212937726,6,1.0,1.0,1.0,4
8,0.8,0.9,8,0.8402997193754138,8,1.0,1.0,1.0,6
9,0.9,1.0,7,1.0,7,1.0,1.0,1.0,3
