origin,source_hour,destination_hour,status,production
2021-04-14 15:00:00,2021-04-14 15:00:00,,no_future_low_band_window,960
2021-04-14 15:15:00,2021-04-14 16:00:00,,no_future_low_band_window,2275
2021-04-15 07:15:00,2021-04-15 08:00:00,,no_future_low_band_window,766
2021-04-15 08:15:00,2021-04-15 09:00:00,,no_future_low_band_window,1672
2021-04-15 09:30:00,2021-04-15 10:00:00,,no_future_low_band_window,492
2021-04-15 10:15:00,2021-04-15 11:00:00,,no_future_low_band_window,1021
2021-04-15 12:15:00,2021-04-15 13:00:00,,no_future_low_band_window,1022
2021-04-15 13:30:00,2021-04-15 14:00:00,,no_future_low_band_window,1613
2021-04-15 14:30:00,2021-04-15 15:00:00,,no_future_low_band_window,662
2021-04-15 15:15:00,2021-04-15 16:00:00,,no_future_low_band_window,1543
2021-04-16 07:15:00,2021-04-16 08:00:00,,no_future_low_band_window,459
2021-04-16 08:15:00,2021-04-16 09:00:00,,no_future_low_band_window,780
2021-04-16 09:30:00,2021-04-16 10:00:00,,no_future_low_band_window,961
2021-04-16 10:15:00,2021-04-16 11:00:00,,no_future_low_band_window,3628
2021-04-16 12:15:00,2021-04-16 13:00:00,,no_future_low_band_window,1657
2021-04-16 13:30:00,2021-04-16 14:00:00,,no_future_low_band_window,1804
2021-04-16 14:30:00,2021-04-16 15:00:00,,no_future_low_band_window,621
2021-04-16 15:15:00,2021-04-16 16:00:00,,no_future_low_band_window,1025
2021-04-19 07:30:00,2021-04-19 08:00:00,,no_future_low_band_window,1040
2021-04-19 08:15:00,2021-04-19 09:00:00,,no_future_low_band_window,854
2021-04-19 09:30:00,2021-04-19 10:00:00,,no_future_low_band_window,913
2021-04-19 10:15:00,2021-04-19 11:00:00,,no_future_low_band_window,1984
2021-04-19 12:15:00,2021-04-19 13:00:00,,no_future_low_band_window,718
2021-04-19 13:15:00,2021-04-19 14:00:00,,no_future_low_band_window,4151
2021-04-19 14:30:00,2021-04-19 15:00:00,,no_future_low_band_window,1195
2021-04-19 15:30:00,2021-04-19 16:00:00,,no_future_low_band_window,1100
2021-04-19 18:00:00,2021-04-19 18:00:00,,no_future_low_band_window,444
2021-04-19 18:15:00,2021-04-19 19:00:00,,no_future_low_band_window,1383
2021-04-20 08:00:00,2021-04-20 08:00:00,,no_future_low_band_window,69
2021-04-20 08:15:00,2021-04-20 09:00:00,,no_future_low_band_window,426
2021-04-20 09:30:00,2021-04-20 10:00:00,,no_future_low_band_window,1218
2021-04-20 10:15:00,2021-04-20 11:00:00,,no_future_low_band_window,862
2021-04-20 12:15:00,2021-04-20 13:00:00,,no_future_low_band_window,1455
2021-04-20 13:15:00,2021-04-20 14:00:00,,no_future_low_band_window,1351
2021-04-20 14:30:00,2021-04-20 15:00:00,,no_future_low_band_window,1183
2021-04-20 18:00:00,2021-04-20 18:00:00,,no_future_low_band_window,514
2021-04-21 07:15:00,2021-04-21 08:00:00,,no_future_low_band_window,724
2021-04-21 08:15:00,2021-04-21 09:00:00,,no_future_low_band_window,638
2021-04-21 09:30:00,2021-04-21 10:00:00,,no_future_low_band_window,1219
2021-04-21 10:30:00,2021-04-21 11:00:00,,no_future_low_band_window,1473
2021-04-21 12:15:00,2021-04-21 13:00:00,,no_future_low_band_window,1402
2021-04-21 14:45:00,2021-04-21 15:00:00,,no_future_low_band_window,856
2021-04-22 07:15:00,2021-04-22 08:00:00,,no_future_low_band_window,728
2021-04-22 08:15:00,2021-04-22 09:00:00,,no_future_low_band_window,712
2021-04-22 09:30:00,2021-04-22 10:00:00,,no_future_low_band_window,1196
2021-04-22 10:30:00,2021-04-22 11:00:00,,no_future_low_band_window,1131
2021-04-22 12:15:00,2021-04-22 13:00:00,,no_future_low_band_window,1674
2021-04-22 14:45:00,2021-04-22 15:00:00,,no_future_low_band_window,1086
2021-04-23 07:15:00,2021-04-23 08:00:00,,no_future_low_band_window,572
2021-04-23 08:15:00,2021-04-23 09:00:00,,no_future_low_band_window,1287
2021-04-23 09:30:00,2021-04-23 10:00:00,,no_future_low_band_window,172
2021-04-23 10:15:00,2021-04-23 11:00:00,,no_future_low_band_window,1538
2021-04-23 12:15:00,2021-04-23 13:00:00,,no_future_low_band_window,743
2021-04-23 14:45:00,2021-04-23 15:00:00,,no_future_low_band_window,2170
2021-04-26 07:15:00,2021-04-26 08:00:00,,no_future_low_band_window,574
2021-04-26 08:15:00,2021-04-26 09:00:00,,no_future_low_band_window,1038
2021-04-26 09:30:00,2021-04-26 10:00:00,,no_future_low_band_window,363
2021-04-26 10:15:00,2021-04-26 11:00:00,,no_future_low_band_window,944
2021-04-26 12:15:00,2021-04-26 13:00:00,,no_future_low_band_window,2265
2021-04-26 13:15:00,2021-04-26 14:00:00,,no_future_low_band_window,812
2021-04-26 14:30:00,2021-04-26 15:00:00,,no_future_low_band_window,363
2021-04-27 07:15:00,2021-04-27 08:00:00,,no_future_low_band_window,999
2021-04-27 08:15:00,2021-04-27 09:00:00,,no_future_low_band_window,685
2021-04-27 09:30:00,2021-04-27 10:00:00,,no_future_low_band_window,1554
2021-04-27 10:15:00,2021-04-27 11:00:00,,no_future_low_band_window,1472
2021-04-27 12:30:00,2021-04-27 13:00:00,,no_future_low_band_window,1488
2021-04-27 13:45:00,2021-04-27 14:00:00,,no_future_low_band_window,6290
2021-04-27 14:30:00,2021-04-27 15:00:00,,no_future_low_band_window,888
2021-04-28 07:15:00,2021-04-28 08:00:00,,no_future_low_band_window,247
2021-04-28 08:15:00,2021-04-28 09:00:00,,no_future_low_band_window,1636
2021-04-28 09:30:00,2021-04-28 10:00:00,,no_future_low_band_window,461
2021-04-28 10:15:00,2021-04-28 11:00:00,,no_future_low_band_window,1180
2021-04-28 12:45:00,2021-04-28 13:00:00,,no_future_low_band_window,2313
2021-04-28 13:30:00,2021-04-28 14:00:00,,no_future_low_band_window,3149
2021-04-28 14:45:00,2021-04-28 15:00:00,,no_future_low_band_window,940
2021-04-28 18:00:00,2021-04-28 18:00:00,,no_future_low_band_window,918
2021-04-28 18:15:00,2021-04-28 19:00:00,,no_future_low_band_window,433
2021-04-29 07:15:00,2021-04-29 08:00:00,,no_future_low_band_window,862
2021-04-29 08:15:00,2021-04-29 09:00:00,,no_future_low_band_window,853
2021-04-29 09:30:00,2021-04-29 10:00:00,,no_future_low_band_window,2052
2021-04-29 10:15:00,2021-04-29 11:00:00,,no_future_low_band_window,1646
2021-04-29 12:45:00,2021-04-29 13:00:00,,no_future_low_band_window,692
2021-04-29 13:45:00,2021-04-29 14:00:00,,no_future_low_band_window,904
2021-04-29 14:45:00,2021-04-29 15:00:00,,no_future_low_band_window,2121
2021-04-29 18:00:00,2021-04-29 18:00:00,,no_future_low_band_window,1467
2021-04-29 18:15:00,2021-04-29 19:00:00,,no_future_low_band_window,1831
2021-04-30 07:15:00,2021-04-30 08:00:00,,no_future_low_band_window,1201
2021-04-30 08:15:00,2021-04-30 09:00:00,,no_future_low_band_window,709
2021-04-30 09:30:00,2021-04-30 10:00:00,,no_future_low_band_window,566
2021-04-30 10:15:00,2021-04-30 11:00:00,,no_future_low_band_window,867
2021-04-30 12:45:00,2021-04-30 13:00:00,,no_future_low_band_window,1732
2021-05-03 07:30:00,2021-05-03 08:00:00,,no_future_low_band_window,784
2021-05-03 08:15:00,2021-05-03 09:00:00,,no_future_low_band_window,1137
2021-05-03 09:30:00,2021-05-03 10:00:00,,no_future_low_band_window,65
2021-05-03 10:15:00,2021-05-03 11:00:00,,no_future_low_band_window,1572
2021-05-03 12:15:00,2021-05-03 13:00:00,,no_future_low_band_window,505
2021-05-03 13:15:00,2021-05-03 14:00:00,,no_future_low_band_window,2280
2021-05-03 14:30:00,2021-05-03 15:00:00,,no_future_low_band_window,1826
2021-05-03 15:15:00,2021-05-03 16:00:00,,no_future_low_band_window,1667
2021-05-04 07:15:00,2021-05-04 08:00:00,,no_future_low_band_window,473
2021-05-04 08:15:00,2021-05-04 09:00:00,,no_future_low_band_window,2501
2021-05-04 09:30:00,2021-05-04 10:00:00,,no_future_low_band_window,701
2021-05-04 10:15:00,2021-05-04 11:00:00,,no_future_low_band_window,941
2021-05-04 12:15:00,2021-05-04 13:00:00,,no_future_low_band_window,1749
2021-05-04 13:30:00,2021-05-04 14:00:00,,no_future_low_band_window,658
2021-05-04 14:30:00,2021-05-04 15:00:00,,no_future_low_band_window,1093
2021-05-04 15:15:00,2021-05-04 16:00:00,,no_future_low_band_window,716
2021-05-06 07:30:00,2021-05-06 08:00:00,,no_future_low_band_window,424
2021-05-06 08:15:00,2021-05-06 09:00:00,,no_future_low_band_window,1929
2021-05-06 09:30:00,2021-05-06 10:00:00,,no_future_low_band_window,1556
2021-05-06 10:15:00,2021-05-06 11:00:00,,no_future_low_band_window,2460
2021-05-06 12:15:00,2021-05-06 13:00:00,,no_future_low_band_window,2044
2021-05-06 13:15:00,2021-05-06 14:00:00,,no_future_low_band_window,801
2021-05-06 14:30:00,2021-05-06 15:00:00,,no_future_low_band_window,4734
2021-05-06 15:15:00,2021-05-06 16:00:00,,no_future_low_band_window,2564
2021-05-06 17:00:00,2021-05-06 17:00:00,,no_future_low_band_window,601
2021-05-06 17:15:00,2021-05-06 18:00:00,,no_future_low_band_window,1600
2021-05-07 07:15:00,2021-05-07 08:00:00,,no_future_low_band_window,321
2021-05-07 08:15:00,2021-05-07 09:00:00,,no_future_low_band_window,755
2021-05-07 09:30:00,2021-05-07 10:00:00,,no_future_low_band_window,1314
2021-05-07 10:15:00,2021-05-07 11:00:00,,no_future_low_band_window,2392
2021-05-07 12:30:00,2021-05-07 13:00:00,,no_future_low_band_window,1477
