scenario,fraction,prep_minutes,fold,origin,target_time,source_start,tau,eligible_alert_order_for_source,destination_start,delta_per_interval,status,observed_production,source_weight,destination_weight,scenario_label,demand_scope
D,0.1,15,0,2021-04-14 15:15:00,2021-04-14 16:15:00,2021-04-14 16:00:00,176.5,1,2021-04-14 20:15:00,5.55828459992335,applied,2275.0,3.0,2.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-14 15:30:00,2021-04-14 16:30:00,2021-04-14 16:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-14 15:45:00,2021-04-14 16:45:00,2021-04-14 16:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 07:15:00,2021-04-15 08:15:00,2021-04-15 08:00:00,176.5,1,2021-04-15 21:15:00,1.8714927488093562,applied,766.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 07:30:00,2021-04-15 08:30:00,2021-04-15 08:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 07:45:00,2021-04-15 08:45:00,2021-04-15 08:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 08:15:00,2021-04-15 09:15:00,2021-04-15 09:00:00,176.5,1,2021-04-15 21:15:00,4.085033780690918,applied,1672.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 08:30:00,2021-04-15 09:30:00,2021-04-15 09:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 08:45:00,2021-04-15 09:45:00,2021-04-15 09:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 09:30:00,2021-04-15 10:30:00,2021-04-15 10:00:00,176.5,1,2021-04-15 21:15:00,1.2020553947966102,applied,492.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 09:45:00,2021-04-15 10:45:00,2021-04-15 10:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 10:15:00,2021-04-15 11:15:00,2021-04-15 11:00:00,176.5,1,2021-04-15 21:15:00,2.4945092644051603,applied,1021.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 10:30:00,2021-04-15 11:30:00,2021-04-15 11:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 10:45:00,2021-04-15 11:45:00,2021-04-15 11:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 12:15:00,2021-04-15 13:15:00,2021-04-15 13:00:00,176.5,1,2021-04-15 21:15:00,2.4969524664271048,applied,1022.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 12:30:00,2021-04-15 13:30:00,2021-04-15 13:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 12:45:00,2021-04-15 13:45:00,2021-04-15 13:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 13:30:00,2021-04-15 14:30:00,2021-04-15 14:00:00,176.5,1,2021-04-15 21:15:00,3.940884861396203,applied,1613.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 13:45:00,2021-04-15 14:45:00,2021-04-15 14:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 14:30:00,2021-04-15 15:30:00,2021-04-15 15:00:00,176.5,1,2021-04-15 20:15:00,1.617399738527146,applied,662.0,3.0,2.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 14:45:00,2021-04-15 15:45:00,2021-04-15 15:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 15:15:00,2021-04-15 16:15:00,2021-04-15 16:00:00,176.5,1,2021-04-15 20:15:00,3.7698607198601004,applied,1543.0,3.0,2.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-15 15:30:00,2021-04-15 16:30:00,2021-04-15 16:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 07:15:00,2021-04-16 08:15:00,2021-04-16 08:00:00,176.5,1,2021-04-16 21:15:00,1.1214297280724472,applied,459.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 07:30:00,2021-04-16 08:30:00,2021-04-16 08:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 07:45:00,2021-04-16 08:45:00,2021-04-16 08:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 08:15:00,2021-04-16 09:15:00,2021-04-16 09:00:00,176.5,1,2021-04-16 21:15:00,1.9056975771165767,applied,780.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 08:30:00,2021-04-16 09:30:00,2021-04-16 09:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 08:45:00,2021-04-16 09:45:00,2021-04-16 09:00:00,176.5,3,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 09:30:00,2021-04-16 10:30:00,2021-04-16 10:00:00,176.5,1,2021-04-16 21:15:00,2.3479171430885004,applied,961.0,2.0,1.75,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,0,2021-04-16 09:45:00,2021-04-16 10:45:00,2021-04-16 10:00:00,176.5,2,,,duplicate_after_applied,,,,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
