scenario,fraction,prep_minutes,weight_basis,relative_cost_only,alert_positions,alert_positions_including_duplicate_sources,eligible_unique_source_windows,applied_unique_source_windows,actionable_alert_fraction,actionable_fraction_denominator,load_proxy_total_change,energy_conserved,month,monthly_max_before,monthly_max_after,monthly_max_change,weighted_load_change,new_peak_positions,evaluated_intervals,full_calendar_intervals,observed_fraction_of_full_month,scenario_label,demand_scope
D,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-4.405364961712621e-13,True,2021-04,182.0,179.5030475335729,-2.4969524664271034,-262.1189289242967,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-4.405364961712621e-13,True,2021-05,199.0,197.9640823426956,-1.0359176573043953,-183.9972810212724,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-4.405364961712621e-13,True,2021-06,208.0,207.59853342455847,-0.40146657544153186,-395.68099601544014,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-4.405364961712621e-13,True,2021-07,217.0,215.20374467940786,-1.796255320592138,-365.44312438506813,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-4.405364961712621e-13,True,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,1.1510792319313623e-12,True,2021-04,182.0,177.0060950671458,-4.993904932854207,-524.2378578485938,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,1.1510792319313623e-12,True,2021-05,199.0,196.9281646853912,-2.0718353146087907,-413.7410767014299,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,1.1510792319313623e-12,True,2021-06,208.0,207.19706684911696,-0.8029331508830353,-796.8085552377011,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,1.1510792319313623e-12,True,2021-07,217.0,213.4074893588157,-3.5925106411843046,-1259.2263013156844,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,1.1510792319313623e-12,True,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-2.7000623958883807e-13,True,2021-04,182.0,175.63571081578266,-6.364289184217341,-1071.3465298246106,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-2.7000623958883807e-13,True,2021-05,199.0,195.8922470280868,-3.107752971913186,-945.74561052643,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-2.7000623958883807e-13,True,2021-06,208.0,206.79560027367543,-1.2043997263245672,-1630.9579627311937,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-2.7000623958883807e-13,True,2021-07,217.0,211.61123403822356,-5.388765961776443,-3077.1259406777017,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-2.7000623958883807e-13,True,2021-08,215.0,215.0,0.0,0.0,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,388,0.300077339520495,all_h4_alert_positions_including_duplicate_sources,-25521.199999999997,False,2021-04,182.0,172.0,-10.0,-11714.3,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,388,0.300077339520495,all_h4_alert_positions_including_duplicate_sources,-25521.199999999997,False,2021-05,199.0,184.0,-15.0,-8297.85,0,1492,2976,0.5013440860215054,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,388,0.300077339520495,all_h4_alert_positions_including_duplicate_sources,-25521.199999999997,False,2021-06,208.0,187.2,-20.80000000000001,-19976.300000000003,0,2431,2880,0.8440972222222223,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,388,0.300077339520495,all_h4_alert_positions_including_duplicate_sources,-25521.199999999997,False,2021-07,217.0,195.3,-21.69999999999999,-16667.6,0,1253,2976,0.4210349462365591,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,388,0.300077339520495,all_h4_alert_positions_including_duplicate_sources,-25521.199999999997,False,2021-08,215.0,197.0,-18.0,-187.40000000000003,0,806,2976,0.2708333333333333,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,388,0.300077339520495,all_h4_alert_positions_including_duplicate_sources,-51042.40000000001,False,2021-04,182.0,172.0,-10.0,-23428.6,0,1569,2880,0.5447916666666667,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
