fraction,month,applied_source_hours,max_before,max_after,max_change,new_peak_positions,peak_threshold_proxy,weight_basis,weighted_load_change
0.1,2021-01,0,222.0,222.0,0.0,,,illustrative_ordinal_scenario_with_official_discount,0.0
0.1,2021-02,0,198.0,198.0,0.0,,,illustrative_ordinal_scenario_with_official_discount,0.0
0.1,2021-03,0,222.0,222.0,0.0,,,illustrative_ordinal_scenario_with_official_discount,0.0
0.1,2021-04,0,199.0,199.0,0.0,0.0,176.5,illustrative_ordinal_scenario_with_official_discount,0.0
0.1,2021-05,0,199.0,199.0,0.0,0.0,176.5,illustrative_ordinal_scenario_with_official_discount,0.0
0.1,2021-06,0,222.0,222.0,0.0,0.0,177.0,illustrative_ordinal_scenario_with_official_discount,0.0
0.1,2021-07,0,222.0,222.0,0.0,0.0,175.0,illustrative_ordinal_scenario_with_official_discount,0.0
0.1,2021-08,0,215.0,215.0,0.0,0.0,175.0,illustrative_ordinal_scenario_with_official_discount,0.0
0.2,2021-01,0,222.0,222.0,0.0,,,illustrative_ordinal_scenario_with_official_discount,0.0
0.2,2021-02,0,198.0,198.0,0.0,,,illustrative_ordinal_scenario_with_official_discount,0.0
0.2,2021-03,0,222.0,222.0,0.0,,,illustrative_ordinal_scenario_with_official_discount,0.0
0.2,2021-04,0,199.0,199.0,0.0,0.0,176.5,illustrative_ordinal_scenario_with_official_discount,0.0
0.2,2021-05,0,199.0,199.0,0.0,0.0,176.5,illustrative_ordinal_scenario_with_official_discount,0.0
0.2,2021-06,0,222.0,222.0,0.0,0.0,177.0,illustrative_ordinal_scenario_with_official_discount,0.0
0.2,2021-07,0,222.0,222.0,0.0,0.0,175.0,illustrative_ordinal_scenario_with_official_discount,0.0
0.2,2021-08,0,215.0,215.0,0.0,0.0,175.0,illustrative_ordinal_scenario_with_official_discount,0.0
0.3,2021-01,0,222.0,222.0,0.0,,,illustrative_ordinal_scenario_with_official_discount,0.0
0.3,2021-02,0,198.0,198.0,0.0,,,illustrative_ordinal_scenario_with_official_discount,0.0
0.3,2021-03,0,222.0,222.0,0.0,,,illustrative_ordinal_scenario_with_official_discount,0.0
0.3,2021-04,0,199.0,199.0,0.0,0.0,176.5,illustrative_ordinal_scenario_with_official_discount,0.0
0.3,2021-05,0,199.0,199.0,0.0,0.0,176.5,illustrative_ordinal_scenario_with_official_discount,0.0
0.3,2021-06,0,222.0,222.0,0.0,0.0,177.0,illustrative_ordinal_scenario_with_official_discount,0.0
0.3,2021-07,0,222.0,222.0,0.0,0.0,175.0,illustrative_ordinal_scenario_with_official_discount,0.0
0.3,2021-08,0,215.0,215.0,0.0,0.0,175.0,illustrative_ordinal_scenario_with_official_discount,0.0
