scenario,fraction,prep_minutes,weight_basis,relative_cost_only,alert_positions,alert_positions_including_duplicate_sources,eligible_unique_source_windows,applied_unique_source_windows,actionable_alert_fraction,actionable_fraction_denominator,load_proxy_total_change,energy_conserved,scenario_label,demand_scope
D,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-4.405364961712621e-13,True,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,1.1510792319313623e-12,True,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,370,0.2861562258313998,all_h4_alert_positions_including_duplicate_sources,-2.7000623958883807e-13,True,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,388,0.300077339520495,all_h4_alert_positions_including_duplicate_sources,-25521.199999999997,False,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,388,0.300077339520495,all_h4_alert_positions_including_duplicate_sources,-51042.40000000001,False,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.3,15,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,388,388,0.300077339520495,all_h4_alert_positions_including_duplicate_sources,-76563.6,False,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,-3.410605131648481e-13,True,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,7.673861546209082e-13,True,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,330,0.2552204176334107,all_h4_alert_positions_including_duplicate_sources,-4.831690603168681e-13,True,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-22725.8,False,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-45451.6,False,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.3,30,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,343,343,0.2652745552977572,all_h4_alert_positions_including_duplicate_sources,-68177.4,False,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
D,0.3,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,True,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.1,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.2,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
C,0.3,60,illustrative_ordinal_scenario_with_official_discount,True,1293,1293,0,0,0.0,all_h4_alert_positions_including_duplicate_sources,0.0,False,사후 관측 생산량 기반 사후 가정 시나리오,partial_month_development_oof
