representation,model,auroc,auroc_ci_low,auroc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high
raw,IsolationForest,0.9859126984126985,0.9714236111111111,0.9964285714285714,0.7793670330421223,0.6294169371426004,0.9607286178808254
raw,OneClassSVM,0.9978174603174602,0.9930555555555556,1.0,0.9779509379509381,0.9391489170380796,1.0
raw,Mahalanobis,0.9986111111111111,0.996031746031746,1.0,0.9854554865424434,0.9527450570871624,1.0
center,IsolationForest,0.9922619047619048,0.9815376984126983,1.0,0.9448904686999926,0.8701399466088436,1.0
center,OneClassSVM,0.9986111111111111,0.9952380952380953,1.0,0.9851834673263244,0.9520918565561424,1.0
center,Mahalanobis,0.9988095238095238,0.995828373015873,1.0,0.9873376623376624,0.9627461820105226,1.0
z,IsolationForest,0.966468253968254,0.9438492063492063,0.9865128968253968,0.5312110496773599,0.4234653950575846,0.7423391128118018
z,OneClassSVM,0.9920634920634921,0.9801587301587302,1.0,0.8666850919916345,0.715558892061089,1.0
z,Mahalanobis,0.9924603174603175,0.9815426587301587,0.9992063492063492,0.886583444021156,0.7482509710283494,0.9923809523809523
amplitude,IsolationForest,0.9563492063492063,0.9317410714285714,0.9775892857142858,0.47580383138212706,0.37654504285280416,0.6698220438599355
amplitude,OneClassSVM,0.9888888888888889,0.9751934523809523,0.9978174603174603,0.8000829917157501,0.6564047287307113,0.9771488380041011
amplitude,Mahalanobis,0.9807539682539682,0.9628918650793651,0.9928571428571429,0.7520698513493358,0.5870265404499427,0.9182085908005807
