injection,score,auroc,ci_low,ci_high,n_pairs
all_channel_offset_0.5sigma,level,0.9026388888888889,0.8723276909722222,0.9342078993055556,240
all_channel_offset_0.5sigma,relation,0.6557638888888889,0.6333962673611111,0.6826046006944445,240
all_channel_offset_1.0sigma,level,0.9752083333333333,0.9559756944444445,0.9920230034722222,240
all_channel_offset_1.0sigma,relation,0.7976215277777777,0.7740954861111112,0.8243936631944446,240
all_channel_offset_2.0sigma,level,1.0,0.9999999999999999,1.0,240
all_channel_offset_2.0sigma,relation,0.9981423611111111,0.9936979166666667,1.0,240
all_channel_scale_1.1,level,0.5819097222222221,0.572290798611111,0.5957326388888888,240
all_channel_scale_1.1,relation,0.5684201388888889,0.5646345486111112,0.576650607638889,240
all_channel_scale_1.3,level,0.7477083333333333,0.7234513888888889,0.7765568576388888,240
all_channel_scale_1.3,relation,0.6655034722222223,0.6563528645833333,0.6800065104166666,240
channel_shuffle_AI0_Vibration,level,0.6863368055555555,0.6557230902777778,0.7194288194444444,240
channel_shuffle_AI0_Vibration,relation,0.48368055555555556,0.46507725694444446,0.5032660590277778,240
channel_shuffle_AI1_Vibration,level,0.7729687499999999,0.7432565104166667,0.8083051215277777,240
channel_shuffle_AI1_Vibration,relation,0.48715277777777777,0.45503342013888887,0.5200026041666667,240
channel_shuffle_AI2_Current,level,0.7397048611111111,0.7099752604166667,0.7721597222222222,240
channel_shuffle_AI2_Current,relation,0.49979166666666663,0.4987669270833333,0.500642361111111,240
