segment_id,source,label,start,end,n_samples,duration_seconds
21,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:00:00.019,2022-07-12 00:00:04.019,41,4.1
22,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:00:07.224,2022-07-12 00:00:10.824,37,3.7
23,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:00:15.267,2022-07-12 00:00:17.567,24,2.4
24,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:00:23.324,2022-07-12 00:00:24.224,10,1.0
25,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:00:32.752,2022-07-12 00:00:37.652,50,5.0
26,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:00:39.756,2022-07-12 00:00:44.656,50,5.0
27,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:00:47.676,2022-07-12 00:00:52.576,50,5.0
28,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:00:55.468,2022-07-12 00:00:59.468,41,4.1
29,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:01:03.576,2022-07-12 00:01:06.076,26,2.6
30,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:01:11.621,2022-07-12 00:01:12.821,13,1.3
31,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:01:21.222,2022-07-12 00:01:26.122,50,5.0
32,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:01:27.857,2022-07-12 00:01:32.757,50,5.0
33,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:01:35.646,2022-07-12 00:01:39.546,40,4.0
34,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:01:43.757,2022-07-12 00:01:46.157,25,2.5
35,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:01:51.655,2022-07-12 00:01:52.955,14,1.4000000000000001
36,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:02:01.294,2022-07-12 00:02:06.194,50,5.0
37,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:02:07.924,2022-07-12 00:02:12.824,50,5.0
38,3. 소성가공 예지보전 AI 데이터셋\3. 소성가공 예지보전 AI 데이터셋\press_data_normal.csv,0,2022-07-12 00:02:15.921,2022-07-12 00:02:19.421,36,3.6
