fold,model,training_rows,evaluation_rows,evaluation_first,evaluation_last,peak_threshold,peak_events,mae,mae_ci_low,mae_ci_high,peak_mae,peak_mae_ci_low,peak_mae_ci_high
1,day,7014,2340,2021-03-22 03:30:00,2021-04-15 12:15:00,178.0,104,46.39572649572649,32.24594647519582,62.458013959390854,65.0,21.540041666666667,109.40417956656347
1,week,7014,2340,2021-03-22 03:30:00,2021-04-15 12:15:00,178.0,104,28.46923076923077,16.837165197313183,42.59348337925791,29.192307692307693,13.012279411764707,57.936264822134376
1,average,7014,2340,2021-03-22 03:30:00,2021-04-15 12:15:00,178.0,104,35.06367521367521,25.696612461926325,46.5477788379983,43.86538461538461,22.590787128104257,64.34858989424207
1,lgb,7014,2340,2021-03-22 03:30:00,2021-04-15 12:15:00,178.0,104,11.8981073013163,9.230796038584693,15.314888326883409,20.576224425237317,14.127496340376211,31.621816371062007
2,day,10524,2339,2021-04-27 17:00:00,2021-05-22 01:30:00,177.0,44,46.035057716973064,31.55818262020291,60.10256471579016,103.0909090909091,41.355094537815134,141.0240476190476
2,week,10524,2339,2021-04-27 17:00:00,2021-05-22 01:30:00,177.0,44,26.878580589995725,15.887118002665652,39.205447590640425,39.63636363636363,14.320080128205127,80.7703125
2,average,10524,2339,2021-04-27 17:00:00,2021-05-22 01:30:00,177.0,44,34.54574604531851,24.15944110327665,45.097983001240046,70.45454545454545,35.488839285714285,92.184375
2,lgb,10524,2339,2021-04-27 17:00:00,2021-05-22 01:30:00,177.0,44,8.33516124934799,7.063024528906066,9.625334486752768,19.10662832748068,12.210929382951381,30.138024537484483
3,day,14033,2340,2021-06-03 06:15:00,2021-06-27 15:00:00,175.0,148,37.14316239316239,25.326601293406437,50.51608939662661,64.4391891891892,14.652595186781609,115.1311573825011
3,week,14033,2340,2021-06-03 06:15:00,2021-06-27 15:00:00,175.0,148,7.687179487179487,6.135769121725053,9.205348533516807,16.243243243243242,12.844411764705884,19.828022197626513
3,average,14033,2340,2021-06-03 06:15:00,2021-06-27 15:00:00,175.0,148,20.75534188034188,15.073496376811596,27.158215811965814,38.79391891891892,14.160203416149068,63.7255846984187
3,lgb,14033,2340,2021-06-03 06:15:00,2021-06-27 15:00:00,175.0,148,6.185092499735273,5.382432278751249,6.936312437422893,9.32340759583227,7.293006536458122,11.410346959397044
